Geo__geoid_	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_STATE	Geo_COUNTY	Geo_TRACT	Geo_CNECTA	Geo_NECTADIV	Geo_GEO_ID	Geo_NAME	Geo_AREALAND	Geo_AREAWATER	Geo_PLACESE	Geo_qname	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"ACSSF"	"KY"	140	0	21	1	970100	"."	"."	"1400000US21001970100"	"Census Tract 9701, Adair County, Kentucky"	175464467	7752233	21	"Census Tract 9701, Adair County, Kentucky"	1203	197	486	383	77	47	0	13
"21001970200"	"ACSSF"	"KY"	140	0	21	1	970200	"."	"."	"1400000US21001970200"	"Census Tract 9702, Adair County, Kentucky"	104252174	7503621	21	"Census Tract 9702, Adair County, Kentucky"	1425	172	471	469	185	108	20	0
"21001970300"	"ACSSF"	"KY"	140	0	21	1	970300	"."	"."	"1400000US21001970300"	"Census Tract 9703, Adair County, Kentucky"	191516273	892276	21	"Census Tract 9703, Adair County, Kentucky"	2098	189	915	767	178	49	0	0
"21001970401"	"ACSSF"	"KY"	140	0	21	1	970401	"."	"."	"1400000US21001970401"	"Census Tract 9704.01, Adair County, Kentucky"	105372194	706583	21	"Census Tract 9704.01, Adair County, Kentucky"	2895	469	1105	711	226	225	150	9
"21001970402"	"ACSSF"	"KY"	140	0	21	1	970402	"."	"."	"1400000US21001970402"	"Census Tract 9704.02, Adair County, Kentucky"	67018320	529361	21	"Census Tract 9704.02, Adair County, Kentucky"	2550	463	748	667	250	242	11	169
"21001970500"	"ACSSF"	"KY"	140	0	21	1	970500	"."	"."	"1400000US21001970500"	"Census Tract 9705, Adair County, Kentucky"	263714203	596666	21	"Census Tract 9705, Adair County, Kentucky"	1403	210	473	414	242	64	0	0
"21001970600"	"ACSSF"	"KY"	140	0	21	1	970600	"."	"."	"1400000US21001970600"	"Census Tract 9706, Adair County, Kentucky"	142364914	411177	21	"Census Tract 9706, Adair County, Kentucky"	1232	120	731	244	102	35	0	0
"21003920100"	"ACSSF"	"KY"	140	0	21	3	920100	"."	"."	"1400000US21003920100"	"Census Tract 9201, Allen County, Kentucky"	207158637	12787565	21	"Census Tract 9201, Allen County, Kentucky"	2640	383	1070	733	275	124	32	23
"21003920200"	"ACSSF"	"KY"	140	0	21	3	920200	"."	"."	"1400000US21003920200"	"Census Tract 9202, Allen County, Kentucky"	146614096	911656	21	"Census Tract 9202, Allen County, Kentucky"	2325	534	890	502	234	156	9	0
"21003920300"	"ACSSF"	"KY"	140	0	21	3	920300	"."	"."	"1400000US21003920300"	"Census Tract 9203, Allen County, Kentucky"	69833815	222698	21	"Census Tract 9203, Allen County, Kentucky"	3370	304	1277	1243	232	233	16	65
"21003920400"	"ACSSF"	"KY"	140	0	21	3	920400	"."	"."	"1400000US21003920400"	"Census Tract 9204, Allen County, Kentucky"	132940935	4306115	21	"Census Tract 9204, Allen County, Kentucky"	3131	481	1447	752	338	83	30	0
