Geo__geoid_	Geo_qname	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEO_ID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"Census Tract 9701, Adair County, Kentucky"	"KY"	140	0	.	.	.	21	1	.	.	970100	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21001970100"	"Census Tract 9701, Adair County, Kentucky"	""	""	21	1218	186	529	379	42	55	13	14
"21001970200"	"Census Tract 9702, Adair County, Kentucky"	"KY"	140	0	.	.	.	21	1	.	.	970200	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21001970200"	"Census Tract 9702, Adair County, Kentucky"	""	""	21	1444	168	579	426	158	93	20	0
"21001970300"	"Census Tract 9703, Adair County, Kentucky"	"KY"	140	0	.	.	.	21	1	.	.	970300	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21001970300"	"Census Tract 9703, Adair County, Kentucky"	""	""	21	2233	289	1048	662	155	79	0	0
"21001970401"	"Census Tract 9704.01, Adair County, Kentucky"	"KY"	140	0	.	.	.	21	1	.	.	970401	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21001970401"	"Census Tract 9704.01, Adair County, Kentucky"	""	""	21	2859	491	1116	704	165	246	128	9
"21001970402"	"Census Tract 9704.02, Adair County, Kentucky"	"KY"	140	0	.	.	.	21	1	.	.	970402	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21001970402"	"Census Tract 9704.02, Adair County, Kentucky"	""	""	21	2555	329	770	731	262	252	41	170
"21001970500"	"Census Tract 9705, Adair County, Kentucky"	"KY"	140	0	.	.	.	21	1	.	.	970500	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21001970500"	"Census Tract 9705, Adair County, Kentucky"	""	""	21	1245	151	407	384	251	45	7	0
"21001970600"	"Census Tract 9706, Adair County, Kentucky"	"KY"	140	0	.	.	.	21	1	.	.	970600	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21001970600"	"Census Tract 9706, Adair County, Kentucky"	""	""	21	1159	151	615	230	106	38	10	9
"21003920100"	"Census Tract 9201, Allen County, Kentucky"	"KY"	140	0	.	.	.	21	3	.	.	920100	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21003920100"	"Census Tract 9201, Allen County, Kentucky"	""	""	21	2678	344	1031	736	363	148	32	24
"21003920200"	"Census Tract 9202, Allen County, Kentucky"	"KY"	140	0	.	.	.	21	3	.	.	920200	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21003920200"	"Census Tract 9202, Allen County, Kentucky"	""	""	21	2097	387	682	597	223	176	32	0
"21003920300"	"Census Tract 9203, Allen County, Kentucky"	"KY"	140	0	.	.	.	21	3	.	.	920300	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"1400000US21003920300"	"Census Tract 9203, Allen County, Kentucky"	""	""	21	3394	245	1342	1270	244	260	0	33
