Geo__geoid_	Geo_qname	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"Census Tract 9701, Adair County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	1	.	.	970100	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9701, Adair County, Kentucky"	""	""	21	1130	180	520	309	54	34	20	13
"21001970200"	"Census Tract 9702, Adair County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	1	.	.	970200	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9702, Adair County, Kentucky"	""	""	21	1451	151	609	458	134	68	31	0
"21001970300"	"Census Tract 9703, Adair County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	1	.	.	970300	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9703, Adair County, Kentucky"	""	""	21	2177	388	908	588	145	148	0	0
"21001970401"	"Census Tract 9704.01, Adair County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	1	.	.	970401	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9704.01, Adair County, Kentucky"	""	""	21	2715	459	1088	586	187	312	76	7
"21001970402"	"Census Tract 9704.02, Adair County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	1	.	.	970402	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9704.02, Adair County, Kentucky"	""	""	21	2623	403	706	765	287	211	81	170
"21001970500"	"Census Tract 9705, Adair County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	1	.	.	970500	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9705, Adair County, Kentucky"	""	""	21	1335	171	500	400	187	70	7	0
"21001970600"	"Census Tract 9706, Adair County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	1	.	.	970600	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9706, Adair County, Kentucky"	""	""	21	1165	114	631	276	94	31	13	6
"21003920100"	"Census Tract 9201, Allen County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	3	.	.	920100	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9201, Allen County, Kentucky"	""	""	21	2548	251	1041	742	339	101	40	34
"21003920200"	"Census Tract 9202, Allen County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	3	.	.	920200	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9202, Allen County, Kentucky"	""	""	21	1996	357	656	547	244	164	28	0
"21003920300"	"Census Tract 9203, Allen County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	3	.	.	920300	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9203, Allen County, Kentucky"	""	""	21	3281	300	1449	1037	300	173	0	22
"21003920400"	"Census Tract 9204, Allen County, Kentucky"	"ACSSF"	"KY"	140	0	.	.	.	21	3	.	.	920400	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	.	.	"Census Tract 9204, Allen County, Kentucky"	""	""	21	3194	547	1423	826	270	89	39	0
