Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_BTTR	Geo_BTBG	Geo_PUMA5	Geo_PUMA1	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"14000US21001970100"	"Census Tract 9701"	"Census Tract 9701, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001796"	""	""	""	""	"21"	"001"	""	""	""	"970100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1210	252	528	273	96	41	20	0
"21001970200"	"14000US21001970200"	"Census Tract 9702"	"Census Tract 9702, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001797"	""	""	""	""	"21"	"001"	""	""	""	"970200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1465	210	611	487	88	34	28	7
"21001970300"	"14000US21001970300"	"Census Tract 9703"	"Census Tract 9703, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001798"	""	""	""	""	"21"	"001"	""	""	""	"970300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2460	710	937	513	182	118	0	0
"21001970401"	"14000US21001970401"	"Census Tract 9704.01"	"Census Tract 9704.01, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001799"	""	""	""	""	"21"	"001"	""	""	""	"970401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3107	712	1120	734	202	257	75	7
"21001970402"	"14000US21001970402"	"Census Tract 9704.02"	"Census Tract 9704.02, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001800"	""	""	""	""	"21"	"001"	""	""	""	"970402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2323	336	757	693	214	211	90	22
"21001970500"	"14000US21001970500"	"Census Tract 9705"	"Census Tract 9705, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001801"	""	""	""	""	"21"	"001"	""	""	""	"970500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1537	262	592	439	163	68	9	4
"21001970600"	"14000US21001970600"	"Census Tract 9706"	"Census Tract 9706, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001802"	""	""	""	""	"21"	"001"	""	""	""	"970600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1097	215	608	141	78	37	12	6
"21003920100"	"14000US21003920100"	"Census Tract 9201"	"Census Tract 9201, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001803"	""	""	""	""	"21"	"003"	""	""	""	"920100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2358	319	902	598	370	107	37	25
"21003920200"	"14000US21003920200"	"Census Tract 9202"	"Census Tract 9202, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001804"	""	""	""	""	"21"	"003"	""	""	""	"920200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1850	329	654	532	157	153	19	6
"21003920300"	"14000US21003920300"	"Census Tract 9203"	"Census Tract 9203, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0001805"	""	""	""	""	"21"	"003"	""	""	""	"920300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3558	697	1124	962	529	246	0	0
