Geo__geoid_	Geo_NAME	Geo_qname	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIHHTLI	Geo_AITSCE	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_BTTR	Geo_BTBG	Geo_PUMA5	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"Census Tract 9701, Adair County, Kentucky"	"Census Tract 9701, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	3975	.	.	.	21	1	.	.	21	970100	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	1143	324	441	303	25	12	38	0
"21001970200"	"Census Tract 9702, Adair County, Kentucky"	"Census Tract 9702, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	3976	.	.	.	21	1	.	.	21	970200	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	1106	257	495	242	68	36	0	8
"21001970300"	"Census Tract 9703, Adair County, Kentucky"	"Census Tract 9703, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	3977	.	.	.	21	1	.	.	21	970300	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	2091	703	868	312	144	45	19	0
"21001970401"	"Census Tract 9704.01, Adair County, Kentucky"	"Census Tract 9704.01, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	3978	.	.	.	21	1	.	.	21	970401	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	2964	879	887	651	294	218	23	12
"21001970402"	"Census Tract 9704.02, Adair County, Kentucky"	"Census Tract 9704.02, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	3979	.	.	.	21	1	.	.	21	970402	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	2472	598	689	783	170	192	19	21
"21001970500"	"Census Tract 9705, Adair County, Kentucky"	"Census Tract 9705, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	3980	.	.	.	21	1	.	.	21	970500	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	1441	496	476	327	106	36	0	0
"21001970600"	"Census Tract 9706, Adair County, Kentucky"	"Census Tract 9706, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	3981	.	.	.	21	1	.	.	21	970600	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	1120	299	549	122	130	20	0	0
"21003920100"	"Census Tract 9201, Allen County, Kentucky"	"Census Tract 9201, Allen County, Kentucky"	"KY"	140	0	"ACSSF"	3982	.	.	.	21	3	.	.	21	920100	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	2444	536	851	731	180	114	23	9
"21003920200"	"Census Tract 9202, Allen County, Kentucky"	"Census Tract 9202, Allen County, Kentucky"	"KY"	140	0	"ACSSF"	3983	.	.	.	21	3	.	.	21	920200	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	1706	431	487	476	260	38	14	0
"21003920300"	"Census Tract 9203, Allen County, Kentucky"	"Census Tract 9203, Allen County, Kentucky"	"KY"	140	0	"ACSSF"	3984	.	.	.	21	3	.	.	21	920300	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	""	""	.	.	.	.	.	.	.	.	""	""	.	2919	668	1105	809	149	131	57	0
