Geo__geoid_	Geo_NAME	Geo_qname	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_BTTR	Geo_BTBG	Geo_PUMA5	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"Census Tract 9701"	"Census Tract 9701, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	1794	.	.	.	.	21	1	.	.	21	970100	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	1138	266	460	244	106	44	18	0
"21001970200"	"Census Tract 9702"	"Census Tract 9702, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	1795	.	.	.	.	21	1	.	.	21	970200	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	1442	276	661	355	56	57	29	8
"21001970300"	"Census Tract 9703"	"Census Tract 9703, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	1796	.	.	.	.	21	1	.	.	21	970300	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	2441	638	991	491	204	107	0	10
"21001970401"	"Census Tract 9704.01"	"Census Tract 9704.01, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	1797	.	.	.	.	21	1	.	.	21	970401	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	3299	715	1101	866	202	310	98	7
"21001970402"	"Census Tract 9704.02"	"Census Tract 9704.02, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	1798	.	.	.	.	21	1	.	.	21	970402	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	2241	383	795	583	208	183	62	27
"21001970500"	"Census Tract 9705"	"Census Tract 9705, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	1799	.	.	.	.	21	1	.	.	21	970500	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	1545	303	602	390	166	69	10	5
"21001970600"	"Census Tract 9706"	"Census Tract 9706, Adair County, Kentucky"	"KY"	140	0	"ACSSF"	1800	.	.	.	.	21	1	.	.	21	970600	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	970	232	456	143	74	47	13	5
"21003920100"	"Census Tract 9201"	"Census Tract 9201, Allen County, Kentucky"	"KY"	140	0	"ACSSF"	1801	.	.	.	.	21	3	.	.	21	920100	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	2260	265	850	598	344	127	56	20
"21003920200"	"Census Tract 9202"	"Census Tract 9202, Allen County, Kentucky"	"KY"	140	0	"ACSSF"	1802	.	.	.	.	21	3	.	.	21	920200	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	1846	342	638	521	189	130	22	4
"21003920300"	"Census Tract 9203"	"Census Tract 9203, Allen County, Kentucky"	"KY"	140	0	"ACSSF"	1803	.	.	.	.	21	3	.	.	21	920300	.	.	.	.	""	.	.	.	.	.	.	.	.	.	.	.	.	""	""	""	.	.	.	.	.	.	.	""	""	.	3637	710	1249	1026	419	233	0	0
