Geo_FIPS	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_PLACESE	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"Census Tract 9701, Adair County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001816"	""	""	""	""	"21"	"001"	""	""	"970100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21001970100"	"Census Tract 9701"	""	""	""	1215	219	553	303	86	33	21	0
"21001970200"	"Census Tract 9702, Adair County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001817"	""	""	""	""	"21"	"001"	""	""	"970200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21001970200"	"Census Tract 9702"	""	""	""	1621	186	741	441	170	47	36	0
"21001970300"	"Census Tract 9703, Adair County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001818"	""	""	""	""	"21"	"001"	""	""	"970300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21001970300"	"Census Tract 9703"	""	""	""	2478	643	1083	433	196	123	0	0
"21001970401"	"Census Tract 9704.01, Adair County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001819"	""	""	""	""	"21"	"001"	""	""	"970401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21001970401"	"Census Tract 9704.01"	""	""	""	2777	563	935	729	207	254	84	5
"21001970402"	"Census Tract 9704.02, Adair County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001820"	""	""	""	""	"21"	"001"	""	""	"970402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21001970402"	"Census Tract 9704.02"	""	""	""	2254	228	667	666	164	274	74	181
"21001970500"	"Census Tract 9705, Adair County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001821"	""	""	""	""	"21"	"001"	""	""	"970500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21001970500"	"Census Tract 9705"	""	""	""	1503	230	530	463	196	73	7	4
"21001970600"	"Census Tract 9706, Adair County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001822"	""	""	""	""	"21"	"001"	""	""	"970600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21001970600"	"Census Tract 9706"	""	""	""	1245	162	718	195	107	48	11	4
"21003920100"	"Census Tract 9201, Allen County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001823"	""	""	""	""	"21"	"003"	""	""	"920100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21003920100"	"Census Tract 9201"	""	""	""	2529	312	1118	633	297	126	19	24
"21003920200"	"Census Tract 9202, Allen County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001824"	""	""	""	""	"21"	"003"	""	""	"920200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21003920200"	"Census Tract 9202"	""	""	""	1954	355	720	557	169	129	18	6
"21003920300"	"Census Tract 9203, Allen County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001825"	""	""	""	""	"21"	"003"	""	""	"920300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21003920300"	"Census Tract 9203"	""	""	""	3297	529	1136	954	465	213	0	0
"21003920400"	"Census Tract 9204, Allen County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001826"	""	""	""	""	"21"	"003"	""	""	"920400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21003920400"	"Census Tract 9204"	""	""	""	3362	563	1519	913	239	89	39	0
"21003920500"	"Census Tract 9205, Allen County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001827"	""	""	""	""	"21"	"003"	""	""	"920500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21003920500"	"Census Tract 9205"	""	""	""	1018	163	439	204	93	105	11	3
"21003920600"	"Census Tract 9206, Allen County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001828"	""	""	""	""	"21"	"003"	""	""	"920600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21003920600"	"Census Tract 9206"	""	""	""	2309	464	848	543	351	93	10	0
"21005950101"	"Census Tract 9501.01, Anderson County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001829"	""	""	""	""	"21"	"005"	""	""	"950101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21005950101"	"Census Tract 9501.01"	""	""	""	1429	112	412	514	308	83	0	0
"21005950102"	"Census Tract 9501.02, Anderson County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001830"	""	""	""	""	"21"	"005"	""	""	"950102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21005950102"	"Census Tract 9501.02"	""	""	""	4685	463	1713	1488	751	142	57	71
"21005950201"	"Census Tract 9502.01, Anderson County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001831"	""	""	""	""	"21"	"005"	""	""	"950201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21005950201"	"Census Tract 9502.01"	""	""	""	3627	298	1386	1071	370	488	14	0
"21005950202"	"Census Tract 9502.02, Anderson County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001832"	""	""	""	""	"21"	"005"	""	""	"950202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21005950202"	"Census Tract 9502.02"	""	""	""	2472	291	804	830	413	102	7	25
"21005950300"	"Census Tract 9503, Anderson County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001833"	""	""	""	""	"21"	"005"	""	""	"950300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21005950300"	"Census Tract 9503"	""	""	""	1471	116	505	508	204	87	38	13
"21005950400"	"Census Tract 9504, Anderson County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001834"	""	""	""	""	"21"	"005"	""	""	"950400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21005950400"	"Census Tract 9504"	""	""	""	1848	201	758	536	178	134	22	19
"21007950100"	"Census Tract 9501, Ballard County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001835"	""	""	""	""	"21"	"007"	""	""	"950100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21007950100"	"Census Tract 9501"	""	""	""	2999	321	1137	976	397	128	24	16
"21007950200"	"Census Tract 9502, Ballard County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001836"	""	""	""	""	"21"	"007"	""	""	"950200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21007950200"	"Census Tract 9502"	""	""	""	838	66	317	323	81	49	2	0
"21007950300"	"Census Tract 9503, Ballard County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001837"	""	""	""	""	"21"	"007"	""	""	"950300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21007950300"	"Census Tract 9503"	""	""	""	1778	257	740	594	108	79	0	0
"21009950100"	"Census Tract 9501, Barren County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001838"	""	""	""	""	"21"	"009"	""	""	"950100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21009950100"	"Census Tract 9501"	""	""	""	2440	423	864	709	266	124	44	10
"21009950200"	"Census Tract 9502, Barren County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001839"	""	""	""	""	"21"	"009"	""	""	"950200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21009950200"	"Census Tract 9502"	""	""	""	2559	515	1101	696	178	65	4	0
"21009950300"	"Census Tract 9503, Barren County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001840"	""	""	""	""	"21"	"009"	""	""	"950300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21009950300"	"Census Tract 9503"	""	""	""	2398	388	1099	654	193	39	10	15
"21009950401"	"Census Tract 9504.01, Barren County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001841"	""	""	""	""	"21"	"009"	""	""	"950401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21009950401"	"Census Tract 9504.01"	""	""	""	1596	441	861	175	119	0	0	0
"21009950402"	"Census Tract 9504.02, Barren County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001842"	""	""	""	""	"21"	"009"	""	""	"950402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21009950402"	"Census Tract 9504.02"	""	""	""	2151	183	662	551	443	125	99	88
"21009950500"	"Census Tract 9505, Barren County, Kentucky"	"ACSSF"	"ky"	"140"	"00"	"0001843"	""	""	""	""	"21"	"009"	""	""	"950500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US21009950500"	"Census Tract 9505"	""	""	""	3084	360	1352	692	303	306	62	9
