Geo__geoid_	Geo__geo_level_	Geo_NAME	Geo_qname	Geo_AREALAND	Geo_AREAWATER	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"SL140"	"Census Tract 9701, Adair County, Kentucky"	"Census Tract 9701, Adair County, Kentucky"	175464467	7752233	1180	173	436	421	83	54	0	13
"21001970200"	"SL140"	"Census Tract 9702, Adair County, Kentucky"	"Census Tract 9702, Adair County, Kentucky"	104252174	7503621	1488	235	495	381	233	119	25	0
"21001970300"	"SL140"	"Census Tract 9703, Adair County, Kentucky"	"Census Tract 9703, Adair County, Kentucky"	191516274	892276	2059	313	779	754	166	47	0	0
"21001970401"	"SL140"	"Census Tract 9704.01, Adair County, Kentucky"	"Census Tract 9704.01, Adair County, Kentucky"	105372195	706583	2870	457	1061	610	234	305	203	0
"21001970402"	"SL140"	"Census Tract 9704.02, Adair County, Kentucky"	"Census Tract 9704.02, Adair County, Kentucky"	67018320	529361	2350	418	637	600	264	226	27	178
"21001970500"	"SL140"	"Census Tract 9705, Adair County, Kentucky"	"Census Tract 9705, Adair County, Kentucky"	263714203	596666	1577	231	612	367	290	61	6	10
"21001970600"	"SL140"	"Census Tract 9706, Adair County, Kentucky"	"Census Tract 9706, Adair County, Kentucky"	142364914	411177	1298	185	604	263	141	69	23	13
"21003920100"	"SL140"	"Census Tract 9201, Allen County, Kentucky"	"Census Tract 9201, Allen County, Kentucky"	207158637	12787565	2730	290	1110	733	335	114	76	72
"21003920200"	"SL140"	"Census Tract 9202, Allen County, Kentucky"	"Census Tract 9202, Allen County, Kentucky"	146614096	911656	2263	402	791	672	266	124	8	0
"21003920300"	"SL140"	"Census Tract 9203, Allen County, Kentucky"	"Census Tract 9203, Allen County, Kentucky"	69833815	222698	3429	188	1468	1339	151	203	12	68
"21003920400"	"SL140"	"Census Tract 9204, Allen County, Kentucky"	"Census Tract 9204, Allen County, Kentucky"	132940935	4306115	3097	540	1417	613	420	92	15	0
"21003920500"	"SL140"	"Census Tract 9205, Allen County, Kentucky"	"Census Tract 9205, Allen County, Kentucky"	178142905	2237801	1094	227	343	257	126	113	28	0
"21003920600"	"SL140"	"Census Tract 9206, Allen County, Kentucky"	"Census Tract 9206, Allen County, Kentucky"	155550603	614031	2199	235	944	515	403	102	0	0
"21005950101"	"SL140"	"Census Tract 9501.01, Anderson County, Kentucky"	"Census Tract 9501.01, Anderson County, Kentucky"	29174746	180489	1404	160	375	414	383	72	0	0
"21005950102"	"SL140"	"Census Tract 9501.02, Anderson County, Kentucky"	"Census Tract 9501.02, Anderson County, Kentucky"	46962026	996159	4811	631	1441	1598	806	218	13	104
"21005950201"	"SL140"	"Census Tract 9502.01, Anderson County, Kentucky"	"Census Tract 9502.01, Anderson County, Kentucky"	11075445	95215	3907	303	1426	1217	601	295	37	28
"21005950202"	"SL140"	"Census Tract 9502.02, Anderson County, Kentucky"	"Census Tract 9502.02, Anderson County, Kentucky"	74300229	947520	2836	167	750	995	567	311	46	0
"21005950300"	"SL140"	"Census Tract 9503, Anderson County, Kentucky"	"Census Tract 9503, Anderson County, Kentucky"	157430768	1245356	1878	173	678	533	332	127	16	19
"21005950400"	"SL140"	"Census Tract 9504, Anderson County, Kentucky"	"Census Tract 9504, Anderson County, Kentucky"	204906828	1779794	2124	182	872	601	257	128	48	36
"21007950100"	"SL140"	"Census Tract 9501, Ballard County, Kentucky"	"Census Tract 9501, Ballard County, Kentucky"	300712492	26421224	2856	161	1047	958	451	228	11	0
"21007950200"	"SL140"	"Census Tract 9502, Ballard County, Kentucky"	"Census Tract 9502, Ballard County, Kentucky"	161812605	35120717	1003	82	481	348	56	25	11	0
"21007950300"	"SL140"	"Census Tract 9503, Ballard County, Kentucky"	"Census Tract 9503, Ballard County, Kentucky"	177447558	8094399	1685	97	706	643	179	51	0	9
"21009950100"	"SL140"	"Census Tract 9501, Barren County, Kentucky"	"Census Tract 9501, Barren County, Kentucky"	187888193	2033899	2646	398	907	645	405	188	64	39
"21009950200"	"SL140"	"Census Tract 9502, Barren County, Kentucky"	"Census Tract 9502, Barren County, Kentucky"	79703357	582107	2495	443	1076	741	142	83	0	10
