unitid,cipcode,awlevel,crace15,crace16
"100636",30102,"3","2","0"
"100636",90501,"3","23","10"
"100636",100199,"3","94","20"
"100636",110301,"3","55","6"
"100636",110401,"3","295","84"
"100636",139999,"3","1303","194"
"100636",150301,"3","1175","118"
"100636",150303,"3","156","6"
"100636",150399,"3","36","3"
"100636",150401,"3","36","4"
"100636",150501,"3","8","0"
"100636",150611,"3","40","12"
"100636",150699,"3","79","33"
"100636",150701,"3","20","3"
"100636",151101,"3","114","7"
"100636",151102,"3","3","0"
"100636",159999,"3","281","17"
"100636",160103,"3","23","0"
"100636",200401,"3","23","7"
"100636",220199,"3","14","23"
"100636",310504,"3","12","4"
"100636",400401,"3","77","12"
"100636",410399,"3","18","3"
"100636",430109,"3","299","2"
"100636",430199,"3","182","22"
"100636",430203,"3","105","3"
"100636",440701,"3","24","9"
"100636",450899,"3","6","2"
"100636",450901,"3","182","64"
"100636",470607,"3","793","50"
"100636",470608,"3","105","11"
"100636",470609,"3","770","62"
"100636",470699,"3","156","26"
"100636",480299,"3","7","1"
"100636",490101,"3","191","33"
"100636",490105,"3","9","0"
"100636",490199,"3","106","13"
"100636",499999,"3","465","126"
"100636",500402,"3","36","15"
"100636",500901,"3","14","1"
"100636",510601,"3","33","26"
"100636",510603,"3","14","5"
"100636",510799,"3","52","19"
"100636",510801,"3","174","78"
"100636",510806,"3","18","5"
"100636",510901,"3","5","2"
"100636",510904,"3","1","0"
"100636",510905,"3","2","0"
"100636",510907,"3","18","7"
"100636",510909,"3","15","7"
"100636",511004,"3","48","15"
"100636",511006,"3","3","0"
"100636",511313,"3","17","0"
"100636",512002,"3","17","12"
"100636",512202,"3","30","12"
"100636",512206,"3","32","10"
"100636",512702,"3","11","4"
"100636",520202,"3","43","24"
"100636",520203,"3","51","19"
"100636",520204,"3","63","31"
"100636",520401,"3","186","115"
"100636",520801,"3","107","61"
"100636",520902,"3","23","8"
"100636",521001,"3","271","102"
"100636",521201,"3","74","13"
"100636",990000,"3","8645","1581"
"100654",150805,"3","1","0"
"100654",480299,"3","1","0"
"100654",990000,"3","2","0"
"100654",10101,"5","0","1"
"100654",10102,"5","2","1"
"100654",10103,"5","0","2"
"100654",20201,"5","1","0"
"100654",20301,"5","4","1"
"100654",30499,"5","4","1"
"100654",40301,"5","2","1"
"100654",100104,"5","7","11"
"100654",110101,"5","10","21"
"100654",131001,"5","0","2"
"100654",131012,"5","0","5"
"100654",131202,"5","2","24"
"100654",131204,"5","0","9"
"100654",131205,"5","11","14"
"100654",131312,"5","1","0"
"100654",131314,"5","4","2"
"100654",140801,"5","5","1"
"100654",150201,"5","3","0"
"100654",150399,"5","14","1"
"100654",150603,"5","1","1"
"100654",150899,"5","7","1"
"100654",160901,"5","0","1"
"100654",190101,"5","0","1"
"100654",190501,"5","2","6"
"100654",190901,"5","0","7"
"100654",230101,"5","2","9"
"100654",260101,"5","4","10"
"100654",270101,"5","1","6"
"100654",309999,"5","3","4"
"100654",400501,"5","1","2"
"100654",400801,"5","1","1"
"100654",420101,"5","3","7"
