unitid,cipcode,awlevel,crace15,crace16
"100636",60402,"3","66","19"
"100636",60701,"3","7","2"
"100636",60704,"3","2","0"
"100636",61201,"3","84","23"
"100636",69999,"3","128","73"
"100636",79999,"3","656","288"
"100636",100199,"3","517","128"
"100636",110301,"3","35","9"
"100636",110401,"3","291","52"
"100636",139999,"3","456","93"
"100636",149999,"3","14","2"
"100636",150203,"3","7","2"
"100636",150299,"3","1","0"
"100636",150301,"3","34","6"
"100636",150303,"3","558","56"
"100636",150399,"3","84","5"
"100636",150401,"3","28","3"
"100636",150499,"3","462","29"
"100636",150501,"3","31","2"
"100636",150699,"3","39","8"
"100636",151001,"3","99","10"
"100636",159999,"3","1461","97"
"100636",170101,"3","32","22"
"100636",170103,"3","12","4"
"100636",170206,"3","5","2"
"100636",170208,"3","2","4"
"100636",170209,"3","7","7"
"100636",170211,"3","18","13"
"100636",170306,"3","1","1"
"100636",170308,"3","4","3"
"100636",170309,"3","53","27"
"100636",170399,"3","9","1"
"100636",170599,"3","25","8"
"100636",170705,"3","6","2"
"100636",170815,"3","7","2"
"100636",170899,"3","3","0"
"100636",179999,"3","139","62"
"100636",189999,"3","6","0"
"100636",199999,"3","12","4"
"100636",200108,"3","13","6"
"100636",200499,"3","32","10"
"100636",220199,"3","10","27"
"100636",299999,"3","3","0"
"100636",319999,"3","16","3"
"100636",410299,"3","6","0"
"100636",410303,"3","80","10"
"100636",410304,"3","73","17"
"100636",430105,"3","274","19"
"100636",430199,"3","272","6"
"100636",430299,"3","78","0"
"100636",439999,"3","130","9"
"100636",440101,"3","25","8"
"100636",459999,"3","19","11"
"100636",470699,"3","60","4"
"100636",479999,"3","89","33"
"100636",480299,"3","6","3"
"100636",490101,"3","135","17"
"100636",490105,"3","44","6"
"100636",490199,"3","69","5"
"100636",490201,"3","12","4"
"100636",499999,"3","791","158"
"100636",500901,"3","5","0"
"100636",990000,"3","7643","1425"
"100654",10102,"5","5",""
"100654",20201,"5","","1"
"100654",20301,"5","3","2"
"100654",20403,"5","1",""
"100654",20501,"5","2",""
"100654",30499,"5","1",""
"100654",40301,"5","2","1"
"100654",60101,"5","3","3"
"100654",60201,"5","4","9"
"100654",60401,"5","15","22"
"100654",60501,"5","2",""
"100654",61401,"5","11","12"
"100654",69999,"5","5","4"
"100654",70401,"5","","7"
"100654",100104,"5","5","4"
"100654",119999,"5","17","23"
"100654",131006,"5","","1"
"100654",131203,"5","","3"
"100654",131204,"5","","11"
"100654",131205,"5","","1"
"100654",131299,"5","1",""
"100654",131308,"5","","1"
"100654",131312,"5","1",""
"100654",131314,"5","1","2"
"100654",140801,"5","1",""
"100654",150299,"5","2",""
"100654",150399,"5","14","6"
"100654",150805,"5","4",""
"100654",150899,"5","3","2"
"100654",170310,"5","","1"
"100654",190101,"5","","2"
"100654",190401,"5","","1"
"100654",190501,"5","","1"
"100654",190901,"5","","3"
"100654",230101,"5","","1"
"100654",260101,"5","1",""
"100654",260701,"5","","5"
"100654",270101,"5","3","3"
"100654",400501,"5","1",""
"100654",400801,"5","3","1"
"100654",440701,"5","","5"
"100654",450801,"5","","1"
"100654",451001,"5","3","4"
"100654",451101,"5","2","1"
"100654",480299,"5","1",""
"100654",500201,"5","2","2"
"100654",500402,"5","2",""
"100654",990000,"5","121","146"
"100654",10102,"7","7","1"
"100654",20201,"7","2",""
"100654",20501,"7","4",""
"100654",29999,"7","2","4"
"100654",40301,"7","4","2"
"100654",60401,"7","25","12"
"100654",60501,"7","2",""
"100654",110101,"7","13","5"
"100654",130401,"7","3","3"
"100654",131001,"7","","3"
"100654",131005,"7","1",""
"100654",131012,"7","","2"
"100654",131099,"7","","4"
"100654",131202,"7","","31"
"100654",131204,"7","","16"
"100654",131205,"7","5","5"
"100654",131299,"7","11",""
"100654",131302,"7","1","2"
"100654",131303,"7","","5"
"100654",131308,"7","","10"
"100654",150603,"7","8","7"
"100654",190101,"7","","3"
"100654",260101,"7","3","2"
"100654",400801,"7","4",""
"100654",420201,"7","2","7"
"100654",420601,"7","2","4"
"100654",990000,"7","99","128"
"100654",130401,"8","","1"
"100654",130406,"8","1",""
"100654",131202,"8","1","6"
"100654",131299,"8","6",""
"100654",131303,"8","","1"
"100654",990000,"8","8","8"
"100663",170205,"1","129","29"
