unitid,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc5,facloc6,facloc7,facloc8,facloc9,facloc10,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq5,avsat,admreq6,avact,admreq7,admreq8,admreq9,admreq10,admreq11,admreq12,admreq13,yrscol,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3,ftstu,apfee,applfeeu,applfeeg,applfeep,chgper1,chgper2,chgper3,chgper4,chgper5,tuition1,tuition2,tuition3,tuition4,tpugcred,tpugcont,tuition5,tuition6,tuition7,tuition8,tpgdcred,isprof1,osprof1,isprof2,osprof2,isprof3,osprof3,isprof4,osprof4,isprof5,osprof5,isprof6,osprof6,isprof7,osprof7,isprof8,osprof8,isprof9,osprof9,isprof10,osprof10,isprof11,osprof11,profna,tpfpcred,room,roomcap,board,mealswk,mealsvry,roomamt,boardamt,roombord,rmbrdamt,prgmoffr,pg300,cipcode1,ciptuit1,cipsupp1,ciplgth1,cipenrl1,cipcomp1,cipcode2,ciptuit2,cipsupp2,ciplgth2,cipenrl2,cipcomp2,cipcode3,ciptuit3,cipsupp3,ciplgth3,cipenrl3,cipcomp3,cipcode4,ciptuit4,cipsupp4,ciplgth4,cipenrl4,cipcomp4,cipcode5,ciptuit5,cipsupp5,ciplgth5,cipenrl5,cipcomp5,cipcode6,ciptuit6,cipsupp6,ciplgth6,cipenrl6,cipcomp6,enrolmnt,genenrl,month,tostucu,tostufrs,tostucg,tostucp,nofall,cdactua,cnactua,cdactga,cdactpa,cdactuf,cnactuf,cdactgf,cdactpf,sumses,sumses_a,sumses_b,sumses_c,sumcntug,sumcntgr,sumcntfp,cdactssu,cnactssu,cdactssg,cdactssp,extdiv,extdiv_a,extdiv_b,extdiv_c,extdiv_d,extcntug,extcntgr,extcntfp,cdactexu,cnactexu,cdactexg,cdactexp
"227331","1","1","-1","-1","1","-1","-1","1","-1","-1","-1","1","1","-1","-1","-1","1","2","-1","-1","-1","1","-1","1","1","830","1","18","-1","-1","1","-1","1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","-1","1","-1","-1","1","","","","1","1","15","15","","1","-1","-1","-1","-1","9674","9674","9674","-1","30","","8126","8126","8126","-1","24","","","","","","","","","","","","","","","","","","","","","","","-1","","1","462","1","","1","2260","1724","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3277","3277","70195","2826","316","1374","0","-1","47319","0","18275","0","21706","0","6829","0","1","2","1","1","239","359","","992","","1726","","2","-1","","","","","","","","","",""
"203544","1","1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","-1","-1","-1","1","1","1","1","950","1","21","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","-1","-1","1","-1","-1","1","","","","1","1","25","","","1","-1","-1","-1","-1","4640","4640","4640","-1","30","","","","","-1","","","","","","","","","","","","","","","","","","","","","","","","-1","","1","154","1","","1","2000","2207","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599","599","70195","699","100","","","-1","14509","0","","","6079","0","","","1","2","1","1","402","","","2837","","","","2","-1","","","","","","","","","",""
"193353","1","1","-1","-1","1","-1","-1","1","-1","-1","1","-1","1","-1","-1","-1","-1","1","1","-1","-1","1","1","1","1","1050","1","20","-1","-1","1","-1","1","-1","1","-1","1","1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","1","1","1","1","-1","-1","1","-1","-1","1","","","","1","1","20","20","","1","-1","-1","-1","-1","9495","9495","9495","-1","30","","7710","7710","7710","-1","24","","","","","","","","","","","","","","","","","","","","","","","-1","","1","700","1","","1","3000","2000","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1913","1913","70195","1717","260","440","0","-1","39743","0","3144","0","18988","0","1678","0","1","2","1","1","863","318","","3346","129450","","","2","-1","","","","","","","","","",""
"103778","3","1","1","1","-1","-1","-1","1","-1","-1","-1","1","-1","-1","-1","-1","-1","2","-1","-1","1","-1","-1","-1","-1","","-1","","-1","-1","-1","-1","-1","-1","-1","4","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","1","1","1","-1","-1","1","-1","-1","1","","","","1","1","","50","","1","-1","-1","-1","-1","","","","-1","","","25695","25695","25695","-1","","","","","","","","","","","","","","","","","","","","","","","","-1","","1","384","1","","1","2950","3585","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1458","1458","90195","0","","2194","0","-1","0","0","45830","0","0","0","18373","0","1","2","1","1","","978","","","","9376","","2","-1","","","","","","","","","",""
"233842","1","1","1","-1","1","1","-1","1","-1","-1","-1","1","1","-1","-1","-1","1","2","-1","-1","1","-1","-1","-1","-1","","-1","","-1","-1","-1","-1","-1","-1","-1","4","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","1","1","-1","-1","1","-1","-1","1","","","","1","1","","35","35","1","-1","-1","-1","-1","","","","-1","","","6600","6600","6600","-1","","","","","","","","","","","","","","","","","","","","5550","5550","","","-1","27","1","111","1","","1","1650","2050","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150","150","70195","0","","69","174","-1","0","0","756","5568","0","0","234","1920","1","2","1","1","2","0","105","12","300","0","570","2","-1","","","","","","","","","",""
"226471","1","1","-1","-1","1","-1","-1","1","-1","-1","-1","1","1","-1","-1","-1","-1","1","1","-1","-1","1","1","1","1","","1","","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","-1","-1","-1","-1","-1","1","","","","1","1","35","35","","1","-1","-1","-1","-1","6720","6720","6720","-1","30","","4392","4392","4392","-1","18","","","","","","","","","","","","","","","","","","","","","","","-1","","1","1656","1","","1","1315","1900","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2271","2271","70595","2462","307","381","0","-1","52552","0","3485","0","28024","0","1169","0","1","2","1","1","619","193","","4412","","1074","","2","-1","","","","","","","","","",""
"224527","4","1","-1","-1","1","-1","-1","1","-1","-1","-1","1","1","-1","-1","-1","1","2","-1","-1","-1","1","1","1","-1","","1","21","-1","-1","-1","-1","1","-1","-1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","-1","-1","-1","-1","-1","1","","","","1","1","25","25","","1","-1","-1","-1","-1","6490","6490","6490","-1","30","","4284","4284","4284","-1","18","","","","","","","","","","","","","","","","","","","","","","","-1","","1","890","1","","1","1260","1740","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1361","1361","70195","1617","321","44","0","-1","35538","0","450","0","17338","0","222","0","1","2","1","1","157","0","","564","","0","","2","-1","","","","","","","","","",""
"215594","5","1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","2","-1","-1","-1","1","1","1","1","","-1","","1","-1","-1","-1","-1","-1","1","3","-1","1","-1","-1","-1","-1","1","-1","1","-1","-1","-1","-1","-1","-1","1","1","-1","-1","-1","-1","1","-1","1","","","","1","1","10","","","1","1","1","-1","1","5588","5588","5588","-1","","1165","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","1","175","2","","-1","1350","","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226","226","91595","191","182","9","26","-1","0","184062","48","192","0","68647","30","128","1","2","1","1","","","5","","","","30","2","-1","","","","","","","","","",""
"214157","1","1","-1","1","1","-1","-1","1","-1","-1","-1","-1","1","-1","-1","-1","-1","2","-1","-1","-1","1","1","1","1","1120","1","24","-1","-1","1","-1","1","-1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","-1","1","1","1","-1","-1","1","-1","-1","1","","","","1","1","30","30","","-1","1","-1","-1","-1","16500","16500","16500","-1","32","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","1","885","1","19","-1","2890","2335","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1983","1889","60195","2067","325","229","48","-1","47492","0","1852","835","22448","0","785","406","1","2","1","1","594","77","16","3404","","247","66","2","-1","","","","","","","","","",""
"216931","1","1","-1","-1","1","-1","-1","1","-1","-1","-1","1","1","-1","-1","-1","1","1","1","-1","-1","1","1","1","1","1040","1","","-1","-1","-1","-1","1","-1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","1","1","1","1","1","1","-1","-1","1","","","","1","1","30","30","30","-1","1","-1","-1","-1","13147","13147","13147","-1","30","","10704","10704","10704","-1","20","","","","","","","","","","","","","","","","","","","","","","","1","","1","723","1","19","-1","3440","2268","-1","","","-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2781","2781","60195","2754","377","1843","0","-1","57717","0","7977","0","28667","0","2050","0","1","2","1","1","619","1204","0","2786","","3433","0","2","-1","","","","","","","","","",""
