GISJOIN,YEAR,STUSAB,ANRCA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E33001,E33002,E33003,E33004,E33005,E33006,E33007
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Name,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Name,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Name,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Name,Urban Area Code,5-Digit ZIP Code Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate degree,Bachelor's degree,Graduate or professional degree
"G210001090552999999702059999999999921","1990","KY","99",,"9999","9999","9999","99","9","1","9702","05","99999","99","Adair","001","Cane Valley division","90552","Z5","6","9999",,"99999","99","9","9999","3","Kentucky","21","2",,"9999",,,"0000104901","0000007014","BG 1","S","+37174099","-085321992",,243,117,286,76,18,6,7
"G210001090624999999701059999999999921","1990","KY","99",,"9999","9999","9999","99","9","1","9701","05","99999","99","Adair","001","Casey Creek division","90624","Z5","6","9999",,"99999","99","9","9999","3","Kentucky","21","2",,"9999",,,"0000069391","0000004894","BG 1","S","+37262517","-085210164",,157,80,129,26,5,12,5
"G210001090624999999701059999999999922","1990","KY","99",,"9999","9999","9999","99","9","2","9701","05","99999","99","Adair","001","Casey Creek division","90624","Z5","6","9999",,"99999","99","9","9999","3","Kentucky","21","2",,"9999",,,"0000107011","0000001834","BG 2","S","+37230166","-085139564",,128,126,107,27,10,10,15
"G210001090784167509704059999999999912","1990","KY","99",,"9999","9999","9999","99","9","2","9704","05","99999","99","Adair","001","Columbia division","90784","Z5","6","9999","Columbia city","16750","C1","4","9999","3","Kentucky","21","1",,"9999",,,"0000001367","0000000000","BG 2 (pt.)","S","+37107703","-085316705",,182,62,135,119,33,23,13
"G210001090784167509704059999999999913","1990","KY","99",,"9999","9999","9999","99","9","3","9704","05","99999","99","Adair","001","Columbia division","90784","Z5","6","9999","Columbia city","16750","C1","4","9999","3","Kentucky","21","1",,"9999",,,"0000001771","0000000000","BG 3 (pt.)","S","+37098264","-085317835",,170,146,115,63,25,37,59
"G210001090784167509704059999999999914","1990","KY","99",,"9999","9999","9999","99","9","4","9704","05","99999","99","Adair","001","Columbia division","90784","Z5","6","9999","Columbia city","16750","C1","4","9999","3","Kentucky","21","1",,"9999",,,"0000002097","0000000000","BG 4","S","+37091897","-085311907",,304,85,149,54,31,75,24
"G210001090784167509704059999999999915","1990","KY","99",,"9999","9999","9999","99","9","5","9704","05","99999","99","Adair","001","Columbia division","90784","Z5","6","9999","Columbia city","16750","C1","4","9999","3","Kentucky","21","1",,"9999",,,"0000002609","0000000000","BG 5 (pt.)","S","+37099381","-085298794",,186,93,137,51,35,68,33
"G210001090784167509704059999999999916","1990","KY","99",,"9999","9999","9999","99","9","6","9704","05","99999","99","Adair","001","Columbia division","90784","Z5","6","9999","Columbia city","16750","C1","4","9999","3","Kentucky","21","1",,"9999",,,"0000000897","0000000000","BG 6 (pt.)","S","+37087120","-085297435",,8,0,7,0,0,0,0
"G210001090784999999704059999999999921","1990","KY","99",,"9999","9999","9999","99","9","1","9704","05","99999","99","Adair","001","Columbia division","90784","Z5","6","9999",,"99999","99","9","9999","3","Kentucky","21","2",,"9999",,,"0000066851","0000000000","BG 1","S","+37120953","-085265042",,372,141,410,141,36,74,41
