GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BWW001,BWW002,BWW003,BWW004,BWW005,BWW006,BWW007,BWW008,BWW009,BWW010,BWW011,BWW012,BWW013,BWW014,BWW015,BWW016,BWW017,BWW018
"G0100010","1940","Alabama","010","Autauga","0010","Autauga","41","10",434,1491,917,783,463,237,123,91,86,396,1347,1118,864,525,273,207,95,46
"G0100030","1940","Alabama","010","Baldwin","0030","Baldwin","41","30",557,1771,1474,2017,977,545,315,222,237,331,1238,1472,1896,1042,816,437,143,169
"G0100050","1940","Alabama","010","Barbour","0050","Barbour","41","50",831,2323,1189,1041,617,296,216,141,243,836,2420,1279,1085,698,374,356,145,250
"G0100070","1940","Alabama","010","Bibb","0070","Bibb","41","70",401,1375,964,1004,468,220,104,90,39,261,971,1047,1113,533,227,181,79,27
"G0100090","1940","Alabama","010","Blount","0090","Blount","41","90",347,1374,1630,1913,792,305,134,110,79,197,1062,1620,1929,838,347,221,70,46
"G0100110","1940","Alabama","010","Bullock","0110","Bullock","41","110",409,1674,680,382,348,223,125,75,126,460,1654,902,474,368,265,240,122,128
"G0100130","1940","Alabama","010","Butler","0130","Butler","41","130",896,1945,1300,1179,844,364,149,117,93,755,1813,1525,1382,949,484,286,127,97
"G0100150","1940","Alabama","010","Calhoun","0150","Calhoun","41","150",1005,3209,3311,3051,1888,1168,539,565,127,811,2719,3676,3372,2075,1361,872,524,92
"G0100170","1940","Alabama","010","Chambers","0170","Chambers","41","170",684,2379,1992,2179,1255,646,220,184,132,570,2257,2328,2227,1417,707,381,177,115
"G0100190","1940","Alabama","010","Cherokee","0190","Cherokee","41","190",285,996,974,1286,498,209,96,63,126,166,710,1028,1324,543,203,146,70,122
"G0100210","1940","Alabama","010","Chilton","0210","Chilton","41","210",437,1455,1447,1613,839,380,131,131,91,312,1285,1540,1711,844,361,213,106,97
"G0100230","1940","Alabama","010","Choctaw","0230","Choctaw","41","230",523,1475,934,789,411,250,103,51,32,358,1109,1010,833,498,213,213,52,19
"G0100250","1940","Alabama","010","Clarke","0250","Clarke","41","250",678,1963,1267,1120,740,353,140,128,76,451,1544,1395,1177,855,430,251,133,50
"G0100270","1940","Alabama","010","Clay","0270","Clay","41","270",209,738,733,1126,665,253,104,81,56,143,650,791,1249,624,262,167,75,42
"G0100290","1940","Alabama","010","Cleburne","0290","Cleburne","41","290",232,735,749,765,362,90,58,39,15,169,638,794,761,333,93,95,46,10
"G0100310","1940","Alabama","010","Coffee","0310","Coffee","41","310",564,1800,1411,1593,842,303,168,97,85,440,1594,1566,1686,853,370,319,112,74
"G0100330","1940","Alabama","010","Colbert","0330","Colbert","41","330",433,1655,1598,1877,1118,662,319,315,62,363,1361,1665,1954,1288,851,457,240,42
"G0100350","1940","Alabama","010","Conecuh","0350","Conecuh","41","350",554,1654,1083,1029,500,216,90,81,120,478,1401,1329,1151,591,312,192,108,104
"G0100370","1940","Alabama","010","Coosa","0370","Coosa","41","370",229,769,608,792,383,157,73,51,13,168,565,641,804,371,183,130,56,16
"G0100390","1940","Alabama","010","Covington","0390","Covington","41","390",704,2420,2102,2062,1149,566,248,182,117,561,2034,2404,2376,1296,712,375,186,101
"G0100410","1940","Alabama","010","Crenshaw","0410","Crenshaw","41","410",488,1324,1178,1118,642,219,125,67,96,382,1119,1338,1226,693,296,193,81,63
"G0100430","1940","Alabama","010","Cullman","0430","Cullman","41","430",390,1937,2367,3542,1318,453,220,196,98,211,1635,2488,3587,1320,503,323,130,66
"G0100450","1940","Alabama","010","Dale","0450","Dale","41","450",402,1380,1052,1129,629,246,100,94,69,341,1221,1198,1194,689,313,243,106,65
"G0100470","1940","Alabama","010","Dallas","0470","Dallas","41","470",1452,4093,1857,1534,1088,1013,479,351,368,1491,3971,2748,1832,1399,1392,766,405,293
"G0100490","1940","Alabama","010","DeKalb","0490","Dekalb","41","490",401,1942,2309,2878,1264,480,218,151,95,249,1577,2531,3049,1311,482,293,153,79
"G0100510","1940","Alabama","010","Elmore","0510","Elmore","41","510",755,2041,1556,1845,1027,500,149,157,149,538,1793,1602,1813,1065,568,266,183,135
"G0100530","1940","Alabama","010","Escambia","0530","Escambia","41","530",625,2012,1458,1430,907,420,177,154,253,385,1413,1456,1469,970,488,323,142,187
"G0100550","1940","Alabama","010","Etowah","0550","Etowah","41","550",960,3266,3331,4233,2639,1731,639,509,143,669,2721,3545,4490,2805,1929,833,409,123
"G0100570","1940","Alabama","010","Fayette","0570","Fayette","41","570",234,908,1153,1461,708,288,120,83,26,173,799,1192,1449,761,299,202,60,18
"G0100590","1940","Alabama","010","Franklin","0590","Franklin","41","590",366,1266,1375,1508,908,292,168,87,28,256,1123,1387,1592,884,346,202,71,20
"G0100610","1940","Alabama","010","Geneva","0610","Geneva","41","610",506,1600,1461,1485,708,310,131,104,131,401,1388,1642,1602,780,336,215,105,106
"G0100630","1940","Alabama","010","Greene","0630","Greene","41","630",857,1768,648,349,277,127,89,63,28,776,1753,919,464,298,155,200,98,22
"G0100650","1940","Alabama","010","Hale","0650","Hale","41","650",832,2020,987,676,446,232,148,100,77,721,1871,1203,788,582,307,281,122,57
"G0100670","1940","Alabama","010","Henry","0670","Henry","41","670",654,1338,864,929,461,220,65,72,40,582,1184,935,971,545,257,136,73,28
"G0100690","1940","Alabama","010","Houston","0690","Houston","41","690",797,2596,1814,2150,1231,674,347,252,760,713,2463,1900,2306,1430,794,524,237,739
"G0100710","1940","Alabama","010","Jackson","0710","Jackson","41","710",649,2541,2023,1813,1178,462,194,114,166,412,1948,2253,2024,1136,444,346,111,94
"G0100730","1940","Alabama","010","Jefferson","0730","Jefferson","41","730",5934,21283,18821,28828,17055,15406,6399,6361,1010,5196,18470,19834,30805,20874,20345,7797,5340,817
"G0100750","1940","Alabama","010","Lamar","0750","Lamar","41","750",213,816,1137,1394,505,189,113,62,13,141,682,1144,1430,533,203,180,61,17
