GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,AREANAME,CENCNTY,CBD,SEA,C2M001,C2M002,C2M003,C2M004,C2M005,C2M006,C2M007,C2M008,C2M009,C2M010,C2M011,C2M012,C2M013,C2M014,C2M015,C2M016,C2M017,C2M018,C2M019,C2M020
"G0100010","1970","3","6","Alabama","01","Autauga","001",,,,,,,"Autauga","1",,"05",169,550,608,270,416,998,1749,497,236,184,257,451,590,400,587,1315,2008,436,271,76
"G0100030","1970","3","6","Alabama","01","Baldwin","003",,,,,"5160",,"Baldwin","1",,"08",374,1293,1673,1148,1507,3096,3666,1028,737,417,312,838,1531,989,1754,4211,4760,1306,657,227
"G0100050","1970","3","6","Alabama","01","Barbour","005",,,,,,,"Barbour","1",,"09",284,1020,673,347,443,823,939,257,283,152,264,1039,881,497,495,1354,1303,324,362,64
"G0100070","1970","3","6","Alabama","01","Bibb","007",,,,,,,"Bibb","1",,"05",162,498,498,275,359,768,615,92,57,57,87,394,483,352,391,1005,787,146,136,52
"G0100090","1970","3","6","Alabama","01","Blount","009",,,,,,,"Blount","1",,"02",119,744,1341,648,758,1610,1607,272,107,80,91,493,1160,777,843,2093,1833,354,167,50
"G0100110","1970","3","6","Alabama","01","Bullock","011",,,,,,,"Bullock","1",,"06",187,573,410,137,159,408,430,105,75,61,100,565,595,192,246,673,528,200,141,37
"G0100130","1970","3","6","Alabama","01","Butler","013",,,,,,,"Butler","1",,"09",364,910,782,395,395,959,1084,165,134,112,215,807,1014,501,559,1452,1375,334,221,74
"G0100150","1970","3","6","Alabama","01","Calhoun","015",,,,,,,"Calhoun","1",,"03",460,1947,2532,1721,2048,4933,6055,2081,1272,964,435,1779,3194,1808,2557,7121,7749,1742,1171,514
"G0100170","1970","3","6","Alabama","01","Chambers","017",,,,,,,"Chambers","1",,"04",409,1003,1159,643,884,2002,2213,398,318,170,231,1033,1431,710,1225,2886,2603,529,279,80
"G0100190","1970","3","6","Alabama","01","Cherokee","019",,,,,,,"Cherokee","1",,"03",139,505,657,409,491,774,886,175,105,67,68,293,573,485,568,1164,992,265,120,37
"G0100210","1970","3","6","Alabama","01","Chilton","021",,,,,,,"Chilton","1",,"05",175,725,992,622,790,1495,1320,269,135,105,189,606,1168,694,887,1942,1485,269,128,47
"G0100230","1970","3","6","Alabama","01","Choctaw","023",,,,,,,"Choctaw","1",,"07",173,595,628,277,355,715,893,159,103,83,164,468,663,287,374,1021,1029,219,92,84
"G0100250","1970","3","6","Alabama","01","Clarke","025",,,,,,,"Clarke","1",,"07",263,899,777,434,473,1196,1561,315,288,114,184,519,801,488,678,1747,1924,485,254,82
"G0100270","1970","3","6","Alabama","01","Clay","027",,,,,,,"Clay","1",,"04",98,332,464,285,343,811,677,212,82,58,50,223,428,385,433,932,1042,133,117,54
"G0100290","1970","3","6","Alabama","01","Cleburne","029",,,,,,,"Cleburne","1",,"04",84,403,520,241,242,624,635,107,42,23,40,364,452,292,352,817,563,165,75,22
"G0100310","1970","3","6","Alabama","01","Coffee","031",,,,,,,"Coffee","1",,"09",394,819,1001,555,743,1460,2328,750,257,222,164,827,1034,709,969,2115,2533,582,466,95
"G0100330","1970","3","6","Alabama","01","Colbert","033",,,,,,,"Colbert","1",,"01",238,943,1333,593,1138,2493,3847,1134,435,350,188,849,1322,964,1276,3713,4139,1017,583,186
"G0100350","1970","3","6","Alabama","01","Conecuh","035",,,,,,,"Conecuh","1",,"09",197,699,565,282,260,690,782,158,97,47,126,462,723,410,460,1015,927,174,138,60
"G0100370","1970","3","6","Alabama","01","Coosa","037",,,,,,,"Coosa","1",,"04",83,327,310,268,286,695,562,102,58,38,33,237,302,248,317,877,698,167,65,35
"G0100390","1970","3","6","Alabama","01","Covington","039",,,,,,,"Covington","1",,"09",393,1186,1306,720,975,1522,1972,440,270,165,258,1117,1603,867,1244,2279,2361,574,347,136
"G0100410","1970","3","6","Alabama","01","Crenshaw","041",,,,,,,"Crenshaw","1",,"09",182,542,594,299,310,715,552,167,60,52,115,423,708,415,305,987,743,218,141,43
"G0100430","1970","3","6","Alabama","01","Cullman","043",,,,,,,"Cullman","1",,"02",200,1039,1820,1224,1799,3520,2839,705,387,210,181,680,1833,1661,2120,4060,3405,700,353,163
"G0100450","1970","3","6","Alabama","01","Dale","045",,,,,,,"Dale","1",,"09",318,574,643,420,650,1690,3808,1405,730,518,186,536,912,568,817,2098,3466,1106,545,102
"G0100470","1970","3","6","Alabama","01","Dallas","047",,,,,,,"Dallas","1",,"06",575,1543,1278,592,779,1954,2758,965,711,492,477,1604,1683,797,1008,3131,3599,1254,841,285
"G0100490","1970","3","6","Alabama","01","DeKalb","049",,,,,"5160",,"De Kalb","1",,"02",229,1227,1815,1083,1235,2600,2223,386,326,175,208,839,2071,1240,1497,3331,2630,475,329,54
"G0100510","1970","3","6","Alabama","01","Elmore","051",,,,,"5240",,"Elmore","0",,"05",296,845,828,501,803,2047,2186,489,331,152,184,734,997,639,768,2424,2569,574,331,153
"G0100530","1970","3","6","Alabama","01","Escambia","053",,,,,"5240",,"Escambia","1",,"08",424,1136,1040,611,841,2080,2277,373,258,207,293,747,1038,732,826,2437,2444,463,327,94
"G0100550","1970","3","6","Alabama","01","Etowah","055",,,,,"2880",,"Etowah","0",,"03",551,1801,2692,1570,2145,5207,6610,2229,925,589,428,1606,3034,1928,2815,7472,8224,1698,895,356
"G0100570","1970","3","6","Alabama","01","Fayette","057",,,,,,,"Fayette","1",,"05",62,457,690,407,508,869,1035,170,123,70,97,495,587,469,519,1392,1008,268,102,65
"G0100590","1970","3","6","Alabama","01","Franklin","059",,,,,,,"Franklin","1",,"05",178,638,744,376,680,1460,1845,259,158,80,169,584,944,548,948,1889,1568,299,191,38
"G0100610","1970","3","6","Alabama","01","Geneva","061",,,,,,,"Geneva","1",,"09",209,754,896,439,515,1028,1449,266,118,122,172,700,923,527,772,1511,1472,220,242,72
"G0100630","1970","3","6","Alabama","01","Greene","063",,,,,,,"Greene","1",,"06",169,562,376,127,151,341,332,129,61,75,133,499,443,210,244,624,421,199,191,15
"G0100650","1970","3","6","Alabama","01","Hale","065",,,,,,,"Hale","1",,"06",201,805,507,279,259,628,534,125,81,74,281,602,621,289,364,967,788,184,181,55
"G0100670","1970","3","6","Alabama","01","Henry","067",,,,,,,"Henry","1",,"09",126,590,383,232,313,773,566,168,108,45,133,427,514,270,358,968,890,185,163,33
"G0100690","1970","3","6","Alabama","01","Houston","069",,,,,,,"Houston","1",,"09",526,1435,1343,924,1117,2521,3959,1066,749,391,332,1342,1436,1069,1619,3721,4678,1123,773,220
"G0100710","1970","3","6","Alabama","01","Jackson","071",,,,,"2880",,"Jackson","1",,"02",357,1407,1451,899,837,2185,2177,448,236,135,243,1168,1714,981,1179,2796,2299,429,247,98
"G0100730","1970","3","6","Alabama","01","Jefferson","073",,,,,"1000",,"Jefferson","0",,"A",3503,11898,14020,8580,13595,33628,39809,15553,11980,7630,3029,9921,14923,9927,17016,46842,61847,16629,10418,3799
"G0100750","1970","3","6","Alabama","01","Lamar","075",,,,,,,"Lamar","1",,"05",56,360,535,534,458,897,749,151,48,99,36,260,639,536,609,1185,773,199,90,47
"G0100770","1970","3","6","Alabama","01","Lauderdale","077",,,,,,,"Lauderdale","1",,"01",343,1226,1783,1115,1772,3117,4602,1505,1020,576,192,1160,2079,1264,2088,4284,5507,1419,1084,336
"G0100790","1970","3","6","Alabama","01","Lawrence","079",,,,,,,"Lawrence","1",,"01",147,672,1036,576,746,1307,1644,259,105,63,191,546,1229,748,820,1739,1471,226,112,48
"G0100810","1970","3","6","Alabama","01","Lee","081",,,,,"1000",,"Lee","1",,"04",328,1411,1109,555,795,1968,2595,1184,850,1701,316,1175,1391,898,896,2755,3338,1314,1132,703
"G0100830","1970","3","6","Alabama","01","Limestone","083",,,,,"3440",,"Limestone","1",,"01",270,1162,1331,731,817,2046,2260,736,464,287,162,896,1451,799,1123,2438,2979,675,460,98
"G0100850","1970","3","6","Alabama","01","Lowndes","085",,,,,,,"Lowndes","1",,"06",165,611,317,159,164,420,404,126,84,34,126,503,478,171,268,695,515,146,138,19
"G0100870","1970","3","6","Alabama","01","Macon","087",,,,,,,"Macon","1",,"05",310,1003,921,321,397,921,946,538,416,370,112,704,830,403,531,1057,991,507,666,358
