bgp2000gj,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G18001907812838358050604U4,G2101110007502,21111007502,0,0,0,0,0,0,0,0
G18012900542899999040500R1,G2101010020900,21101020900,0.0061554546,0,0,0,0,0,0,0
G21000109055299999970200R1,G2100010970200,21001970200,1,1,1,1,1,1,1,1
G21000109062499999970100R1,G2100010970100,21001970100,1,1,1,1,1,1,1,1
G21000109062499999970100R2,G2100010970100,21001970100,1,1,1,1,1,1,1,1
G21000109078416750970400R2,G2100010970402,21001970402,1,1,1,1,1,1,1,1
G21000109078416750970400R3,G2100010970401,21001970401,1,1,1,1,1,1,1,1
G21000109078416750970400R6,G2100010970401,21001970401,1,1,1,1,1,1,1,1
G21000109078416750970400U2,G2100010970401,21001970401,0.4724317087,0.4655612245,0.4131147541,0.4926829268,0.4852071006,0.4702702703,0.3869565217,0.6944444444
G21000109078416750970400U2,G2100010970402,21001970402,0.5275682913,0.5344387755,0.5868852459,0.5073170732,0.5147928994,0.5297297297,0.6130434783,0.3055555556
G21000109078416750970400U3,G2100010970401,21001970401,1,1,1,1,1,1,1,1
G21000109078416750970400U4,G2100010970401,21001970401,1,1,1,1,1,1,1,1
G21000109078416750970400U5,G2100010970401,21001970401,0.1903348023,0.1661107405,0.140833989,0.2186234818,0.2866817156,0.2640144665,0.1023255814,0.4605263158
G21000109078416750970400U5,G2100010970402,21001970402,0.8096651977,0.8338892595,0.859166011,0.7813765182,0.7133182844,0.7359855335,0.8976744186,0.5394736842
G21000109078499999970400R1,G2100010970401,21001970401,0.0685878163,0.063670412,0.0657894737,0.0621118012,0.0651162791,0.0633608815,0.0672897196,0.0545454545
G21000109078499999970400R1,G2100010970402,21001970402,0.9314121837,0.936329588,0.9342105263,0.9378881988,0.9348837209,0.9366391185,0.9327102804,0.9454545455
G21000109078499999970400R2,G2100010970401,21001970401,0.8554346437,0.9297297297,0.9246575342,0.9655172414,0.8947368421,0.9058823529,0.9310344828,0.7777777778
G21000109078499999970400R2,G2100010970402,21001970402,0.1445653563,0.0702702703,0.0753424658,0.0344827586,0.1052631579,0.0941176471,0.0689655172,0.2222222222
G21000109078499999970400R3,G2100010970401,21001970401,1,1,1,1,1,1,1,1
G21000109078499999970400R6,G2100010970401,21001970401,0.9998059274,0.9953379953,0.997037037,0.9961538462,0.9971671388,0.9976019185,0.996835443,1
G21000109078499999970400R6,G2100010970500,21001970500,0.0001940726,0.0046620047,0.002962963,0.0038461538,0.0028328612,0.0023980815,0.003164557,0
G21000109078499999970400U1,G2100010970401,21001970401,0.1305183183,0.1722772277,0.1883289125,0.1806451613,0.1791044776,0.1697247706,0.156626506,0.2857142857
G21000109078499999970400U1,G2100010970402,21001970402,0.8694816817,0.8277227723,0.8116710875,0.8193548387,0.8208955224,0.8302752294,0.843373494,0.7142857143
G21000109078499999970400U5,G2100010970401,21001970401,0.4413600538,0.4413600538,0.4413600538,0.4413600538,0.4413600538,0.4413600538,0.4413600538,0.4413600538
G21000109078499999970400U5,G2100010970402,21001970402,0.5586399462,0.5586399462,0.5586399462,0.5586399462,0.5586399462,0.5586399462,0.5586399462,0.5586399462
G21000109141699999970600R1,G2100010970300,21001970300,0.0000089346,0,0,0,0,0,0,0
G21000109141699999970600R1,G2100010970600,21001970600,0.9999641882,1,1,1,1,1,1,1
G21000109141699999970600R1,G2102070960200,21207960200,0.0000268772,0,0,0,0,0,0,0
G21000109143299999970500R1,G2100010970500,21001970500,1,1,1,1,1,1,1,1
G21000109143299999970500R2,G2100010970500,21001970500,0.9611381987,0.9999171229,0.999888755,0.9999297745,0.9998967183,0.9943179474,0.9999354839,0.9997412344
G21000109143299999970500R2,G2100010970600,21001970600,0.0388480794,0.0000828771,0.000111245,0.0000702255,0.0001032817,0.0056820526,0.0000645161,0.0002587656
G21000109143299999970500R2,G2101690960300,21169960300,0.0000137219,0,0,0,0,0,0,0
G21000109368099999970300R1,G2100010970300,21001970300,0.9999908425,0.9998083862,0.9997710834,0.9997315931,0.9997876773,0.9998064175,0.9999581038,0.9987196714
G21000109368099999970300R1,G2100450950500,21045950500,0.0000091575,0.0001916138,0.0002289166,0.0002684069,0.0002123227,0.0001935825,0.0000418962,0.0012803286
G21000109368099999970300R2,G2100010970300,21001970300,0.9998256546,0.9997369705,0.9996919329,0.9998584514,0.9995437773,0.9995658947,0.9995129237,0.9997537977
G21000109368099999970300R2,G2102070960101,21207960101,0.0001743454,0.0002630295,0.0003080671,0.0001415486,0.0004562227,0.0004341053,0.0004870763,0.0002462023
G21000109368099999970300R3,G2100010970300,21001970300,0.9999920709,0.9999428381,0.999937585,0.9999349548,0.999942332,0.9999435551,0.9999338445,0.9999849137
G21000109368099999970300R3,G2102070960102,21207960102,0.0000079291,0.0000571619,0.000062415,0.0000650452,0.000057668,0.0000564449,0.0000661555,0.0000150863
G21000309002499999980600R1,G2100030920600,21003920600,1,1,1,1,1,1,1,1
G21000309002499999980600R2,G2100030920600,21003920600,1,1,1,1,1,1,1,1
G21000309002499999980600R2,G2102130970100,21213970100,0,0,0,0,0,0,0,0
G21000309156099999980200R1,G2100030920200,21003920200,1,1,1,1,1,1,1,1
