GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E4S001,E4S002,E4S003,E4S004,E4S005,E0I001,E4U001,E07001,E07002,E07003,E07004,E07005,E07006,E07007,E07008,E07009,E07010,E07011,E07012,E07013,E07014,E07015,E07016,E07017,E07018,E07019,E07020,E07021,E07022,E07023,E07024,EZ2001,EZ2002
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,5-Digit ZIP Code Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,White,Black,"American Indian, Eskimo, or Aleut",Asian or Pacific Islander,Other race,Total,Median household income in 1989,Income in 1989 above poverty level >> Under 5 years,Income in 1989 above poverty level >> 5 years,Income in 1989 above poverty level >> 6 to 11 years,Income in 1989 above poverty level >> 12 to 17 years,Income in 1989 above poverty level >> 18 to 24 years,Income in 1989 above poverty level >> 25 to 34 years,Income in 1989 above poverty level >> 35 to 44 years,Income in 1989 above poverty level >> 45 to 54 years,Income in 1989 above poverty level >> 55 to 59 years,Income in 1989 above poverty level >> 60 to 64 years,Income in 1989 above poverty level >> 65 to 74 years,Income in 1989 above poverty level >> 75 years and over,Income in 1989 below poverty level >> Under 5 years,Income in 1989 below poverty level >> 5 years,Income in 1989 below poverty level >> 6 to 11 years,Income in 1989 below poverty level >> 12 to 17 years,Income in 1989 below poverty level >> 18 to 24 years,Income in 1989 below poverty level >> 25 to 34 years,Income in 1989 below poverty level >> 35 to 44 years,Income in 1989 below poverty level >> 45 to 54 years,Income in 1989 below poverty level >> 55 to 59 years,Income in 1989 below poverty level >> 60 to 64 years,Income in 1989 below poverty level >> 65 to 74 years,Income in 1989 below poverty level >> 75 years and over,Owner occupied,Renter occupied
"G0100010","1990","AL",,,,,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",27221,6842,32,89,38,228,28337,1994,422,2586,2851,2705,4916,4335,3781,1430,1232,1550,883,626,90,686,754,586,611,411,336,172,207,474,371,9422,2404
"G0100030","1990","AL",,,,,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,,,,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",84557,12574,850,169,130,865,25712,5214,1076,6755,7019,6507,12566,12398,10264,4474,4611,8057,4339,1471,364,1791,1660,1461,1916,1451,859,422,543,1020,989,29025,8019
"G0100050","1990","AL",,,,,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",14085,11215,54,55,8,81,19389,1210,266,1739,1651,1652,2946,2996,2000,885,880,1444,872,645,143,925,640,599,683,552,384,182,230,580,681,6490,2728
"G0100070","1990","AL",,,,,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",13080,3492,2,2,0,47,19775,877,168,1206,1171,1336,2146,1718,1715,587,521,853,552,262,82,432,516,336,382,359,241,112,144,296,292,4510,1235
"G0100090","1990","AL",,,,,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",38254,584,163,48,199,280,22382,2076,360,2589,3111,3476,5135,5025,4413,1660,1594,2226,1321,572,127,496,612,400,784,653,359,204,273,696,762,11972,2672
"G0100110","1990","AL",,,,,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",3036,7971,6,29,0,30,14745,382,74,663,548,467,1049,1065,681,298,280,646,411,528,61,485,644,340,340,269,239,71,114,359,326,2729,1058
"G0100130","1990","AL",,,,,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",13041,8802,21,16,12,121,16054,871,229,1298,1364,1207,2135,2306,1521,791,869,1363,879,737,157,1017,880,598,831,617,428,118,150,545,737,5788,2147
"G0100150","1990","AL",,,,,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,,,,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",92902,21650,303,853,326,1206,23802,5510,1119,8019,8539,8576,15609,15049,10960,4901,4440,6932,3942,1703,344,1763,1701,2534,2407,1402,1141,677,644,1696,1373,30224,12759
"G0100170","1990","AL",,,,,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",23544,13248,43,6,35,109,21256,1670,375,2426,2382,2957,4475,4440,3278,1690,1451,2663,1768,701,193,859,870,665,745,549,400,170,247,629,821,10472,3314
"G0100190","1990","AL",,,,,,,,,,,"99","Cherokee","019",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001432714","0000121285","Cherokee County","A","+34187088","-085605750","06",18204,1277,30,12,20,89,21368,838,110,1270,1450,1745,2279,2580,2030,917,749,1373,699,274,32,330,310,221,472,360,218,213,222,370,402,5959,1507
"G0100210","1990","AL",,,,,,,,,,,"99","Chilton","021",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001797629","0000017453","Chilton County","A","+32844987","-086718688","06",28709,3658,56,9,26,76,21627,1698,321,2364,2561,2454,4291,4083,3158,1258,1343,1940,1147,503,114,501,540,473,764,460,363,265,219,552,741,9838,2276
