GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GHE001,GHF001,GHF002,GMX001,GMX002,GMX003,GMX004,GMX005,GMX006,GMX007,GMX008,GMX009,GMX010,GMX011,GMX012,GMX013,GMX014,GMX015,GMX016,GN3001,F89001,F89002
GIS Join Match Code,Data File Year,File Identification,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,FIPS County Subdivion Class Code,Place Code,FIPS Place Class Code,Place Description Code,Census Tract Code,Tribal Census Tract Code,Block Group Code,Tribal Block Group Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,FIPS American Indian Area/Alaska Native Area/Hawaiian Home Land Class Code,American Indian Tribal Subdivision (Census),Tribal Subdivision Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Consolidated Metropolitan Statistical Area,Metropolitan Area Central City Indicator,Primary Metropolitan Statistical Area Code,New England County Metropolitan Area Code,New England County Metropolitan Area Central City Indicator,Urban Area Code,Urban Area Type,Urban/Rural Code,Congressional District (106th) Code,Congressional District (108th) Code,Congressional District (109th) Code,3-Digit ZIP Code Tabulation Area Code,5-Digit ZIP Code Tabulation Area Code,Area (Land),Area (Water),Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Functional Status Code,Internal Point (Latitude),Internal Point (Longitude),Legal/Statistical Area Description Code,Metropolitan Area Central City,Urban Area Central Place,Total,Urban,Rural,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Aggregate earnings in 1999,Urban,Rural
"G0100010","2000","US","3","6","Alabama","01","Autauga","001",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"1543550050","21959029","Autauga County","A","+32523283","-086577176","06",,,14.3,24210,19461,1635,945,929,1074,876,1014,1079,951,904,1614,2049,1689,679,205,144,185,660870800,9618,8044
"G0100030","2000","US","3","6","Alabama","01","Baldwin","003",,,,,"0",,,,,,,,,,,,,"5160","99","N","9999","9999","9",,,,,,,,,"4134518782","1115203109","Baldwin County","A","+30592781","-087748260","06",,,13.9,63708,76707,4874,3834,3480,3846,3793,3795,3862,3465,3028,5236,5672,5216,2102,1092,1034,1027,2177317800,30660,43625
"G0100050","2000","US","3","6","Alabama","01","Barbour","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2291889572","50799584","Barbour County","A","+31856515","-085331312","06",,,20.7,8574,20464,2425,1109,803,862,728,603,523,486,480,726,586,576,221,115,103,86,293508700,3760,8701
"G0100070","2000","US","3","6","Alabama","01","Bibb","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1613627425","8124469","Bibb County","A","+33040054","-087123243","06",,,17.9,3785,17041,1157,698,552,636,461,515,496,479,379,585,616,549,175,36,22,27,232646500,1202,7143
"G0100090","2000","US","3","6","Alabama","01","Blount","009",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"1672057889","12998871","Blount County","A","+33978461","-086554768","06",,,19.6,4695,46329,2377,1423,1328,1291,1527,1558,1222,1202,982,1770,2036,1477,517,204,133,106,675348100,1838,19320
"G0100110","2000","US","3","6","Alabama","01","Bullock","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1618775183","2703063","Bullock County","A","+32098285","-085704915","06",,,14.5,4499,7215,1158,474,305,353,250,247,239,184,103,243,164,170,52,32,0,19,89626000,1321,3406
"G0100130","2000","US","3","6","Alabama","01","Butler","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2012076972","2732130","Butler County","A","+31735884","-086662232","06",,,19.5,5287,16112,1809,840,791,786,554,586,457,501,263,576,439,383,135,55,67,144,245681000,2441,7516
"G0100150","2000","US","3","6","Alabama","01","Calhoun","015",,,,,"0",,,,,,,,,,,,,"0450","99","N","9999","9999","9",,,,,,,,,"1575907564","9996496","Calhoun County","A","+33741989","-085817544","06",,,14.6,77606,34643,6730,4043,3704,3632,3326,3156,3007,2709,2144,3674,3712,2853,1257,426,497,510,1445567400,35788,15534
"G0100170","2000","US","3","6","Alabama","01","Chambers","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1546657021","15382288","Chambers County","A","+32891233","-085288745","06",,,15.7,18418,18165,2496,1339,1310,1111,1085,965,957,1070,722,1128,1174,705,214,46,97,126,441285900,8293,7963
"G0100190","2000","US","3","6","Alabama","01","Cherokee","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1432576264","121290944","Cherokee County","A","+34184158","-085621930","06",,,17.7,0,23988,1331,1020,786,811,768,782,712,571,530,789,698,566,175,74,64,41,279887900,0,14025
"G0100210","2000","US","3","6","Alabama","01","Chilton","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1797396705","17552968","Chilton County","A","+32852554","-086689982","06",,,18.0,4776,34817,2137,1341,1039,1151,1252,1181,1073,819,759,1500,1281,1132,345,144,33,83,484930200,2138,15513
"G0100230","2000","US","3","6","Alabama","01","Choctaw","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2365990097","18999051","Choctaw County","A","+32027681","-088257855","06",,,24.4,0,15922,1268,817,592,516,431,331,359,301,245,409,421,340,162,54,16,82,173082400,0,7839
"G0100250","2000","US","3","6","Alabama","01","Clarke","025",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3207377186","36596298","Clarke County","A","+31688155","-087834164","06",,,16.9,7137,20730,2030,1058,929,939,660,611,564,476,434,777,867,764,329,51,86,63,322034600,3112,9519
"G0100270","2000","US","3","6","Alabama","01","Clay","027",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1567134311","2403035","Clay County","A","+33265810","-085842858","06",,,21.8,0,14254,944,543,509,570,533,448,412,292,328,435,355,283,46,37,13,22,147525800,0,6612
"G0100290","2000","US","3","6","Alabama","01","Cleburne","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1450940300","2089814","Cleburne County","A","+33647948","-085511937","06",,,19.7,0,14123,780,541,478,508,417,492,421,363,238,452,442,286,97,43,35,23,164761800,0,6189
"G0100310","2000","US","3","6","Alabama","01","Coffee","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1758576346","3854683","Coffee County","A","+31378987","-085956841","06",,,16.3,19440,24175,2146,1382,1556,1387,1192,1418,1188,937,863,1368,1422,1436,471,243,211,224,582918200,8846,10991
"G0100330","2000","US","3","6","Alabama","01","Colbert","033",,,,,"0",,,,,,,,,,,,,"2650","99","N","9999","9999","9",,,,,,,,,"1539831753","75305160","Colbert County","A","+34731480","-087725960","06",,,16.0,29102,25882,3264,1916,1754,1965,1625,1557,1466,1169,1320,1783,1817,1549,704,199,181,219,703850100,13490,11490
"G0100350","2000","US","3","6","Alabama","01","Conecuh","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2203546316","4436364","Conecuh County","A","+31415613","-087002108","06",,,16.6,0,14089,1487,616,445,545,351,316,395,310,196,347,300,260,83,46,51,27,131871000,0,7265
"G0100370","2000","US","3","6","Alabama","01","Coosa","037",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1689820597","36039382","Coosa County","A","+32955511","-086236319","06",,,19.8,319,11883,711,411,420,439,375,324,365,260,277,390,329,229,79,18,21,46,139765000,0,6142
"G0100390","2000","US","3","6","Alabama","01","Covington","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2677571159","26020615","Covington County","A","+31251036","-086416195","06",,,21.4,10550,27081,2757,1789,1469,1410,1403,1026,882,714,619,1126,1060,712,275,131,95,171,428572900,5243,13335
