GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E1A001,E1A002,E1A003,E1A004,E1A005,E1A006,E1A007,E1A008,E1A009,E1A010
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,5-Digit ZIP Code Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Not of Hispanic origin >> White,Not of Hispanic origin >> Black,"Not of Hispanic origin >> American Indian, Eskimo, or Aleut",Not of Hispanic origin >> Asian or Pacific Islander,Not of Hispanic origin >> Other race,Hispanic origin >> White,Hispanic origin >> Black,"Hispanic origin >> American Indian, Eskimo, or Aleut",Hispanic origin >> Asian or Pacific Islander,Hispanic origin >> Other race
"G0100010","1990","AL",,,,,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",27081,6792,32,89,0,140,50,0,0,38
"G0100030","1990","AL",,,,,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,,,,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",83868,12544,841,153,9,689,30,9,16,121
"G0100050","1990","AL",,,,,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",14051,11194,36,55,0,34,21,18,0,8
"G0100070","1990","AL",,,,,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",13058,3467,2,2,0,22,25,0,0,0
"G0100090","1990","AL",,,,,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",38170,584,163,48,3,84,0,0,0,196
"G0100110","1990","AL",,,,,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",3018,7959,6,29,0,18,12,0,0,0
"G0100130","1990","AL",,,,,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",12940,8794,21,16,0,101,8,0,0,12
"G0100150","1990","AL",,,,,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,,,,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",92083,21612,295,830,8,819,38,8,23,318
"G0100170","1990","AL",,,,,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",23472,13239,43,6,7,72,9,0,0,28
