tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0100010020100,01001020100,G0100010020100,01001020100,0.9993057076,1,1,1,1,1,1,1
G0100010020100,01001020100,G0100010020803,01001020803,0.0006942924,0,0,0,0,0,0,0
G0100010020200,01001020200,G0100010020100,01001020100,0.0014601551,0,0,0,0,0,0,0
G0100010020200,01001020200,G0100010020200,01001020200,0.9985398449,1,1,1,1,1,1,1
G0100010020300,01001020300,G0100010020300,01001020300,1,1,1,1,1,1,1,1
G0100010020400,01001020400,G0100010020400,01001020400,1,1,1,1,1,1,1,1
G0100010020500,01001020500,G0100010020501,01001020501,0.5437572372,0.3476685863,0.3653340347,0.3764746704,0.3461538462,0.3419220056,0.4847498983,0.1361675909
G0100010020500,01001020500,G0100010020502,01001020502,0.183838588,0.3135498537,0.297798158,0.3075955651,0.3167816358,0.3203680421,0.2421263556,0.4298915151
G0100010020500,01001020500,G0100010020503,01001020503,0.2724041748,0.33878156,0.3368678073,0.3159297646,0.337064518,0.3377099524,0.2731237461,0.433940894
G0100010020600,01001020600,G0100010020600,01001020600,1,1,1,1,1,1,1,1
G0100010020700,01001020700,G0100010020700,01001020700,1,1,1,1,1,1,1,1
G0100010020801,01001020801,G0100010020801,01001020801,1,1,1,1,1,1,1,1
G0100010020802,01001020802,G0100010020803,01001020803,0.6760851301,0.4321034978,0.4346266277,0.4299223235,0.4363833243,0.4464151886,0.4294361262,0.4756756757
G0100010020802,01001020802,G0100010020804,01001020804,0.138222584,0.3134643028,0.3083975551,0.3174603175,0.301840823,0.2962777917,0.3023255814,0.2990990991
G0100010020802,01001020802,G0100010020805,01001020805,0.1856922859,0.2544321993,0.2569758172,0.252617359,0.2617758527,0.2573070197,0.2682382924,0.2252252252
G0100010020900,01001020900,G0100010020901,01001020901,0.359521056,0.5131277533,0.5052833814,0.506683641,0.503628447,0.5021551724,0.4967704052,0.5357142857
G0100010020900,01001020900,G0100010020902,01001020902,0.640478944,0.4868722467,0.4947166186,0.493316359,0.496371553,0.4978448276,0.5032295948,0.4642857143
G0100010021000,01001021000,G0100010021000,01001021000,1,1,1,1,1,1,1,1
G0100010021100,01001021100,G0100010021000,01001021000,0.000058041,0.0012048193,0.0007782101,0.0010964912,0.0007656968,0.0006257822,0.0009469697,0
G0100010021100,01001021100,G0100010021100,01001021100,0.999941959,0.9987951807,0.9992217899,0.9989035088,0.9992343032,0.9993742178,0.9990530303,1
G0100030010100,01003010100,G0100030010100,01003010100,1,1,1,1,1,1,1,1
G0100030010200,01003010200,G0100030010200,01003010200,0.9992636047,0.9986216402,0.9990684676,0.9988123515,0.99909991,0.9992119779,0.9988662132,1
G0100030010200,01003010200,G0100030010500,01003010500,0.0007363953,0.0013783598,0.0009315324,0.0011876485,0.00090009,0.0007880221,0.0011337868,0
G0100030010300,01003010300,G0100030010300,01003010300,0.9979781427,1,1,1,1,1,1,1
G0100030010300,01003010300,G0100030010707,01003010707,0.0020218573,0,0,0,0,0,0,0
G0100030010400,01003010400,G0100030010400,01003010400,1,1,1,1,1,1,1,1
G0100030010500,01003010500,G0100030010200,01003010200,0.0006107577,0,0,0,0,0,0,0
G0100030010500,01003010500,G0100030010500,01003010500,0.9993892423,1,1,1,1,1,1,1
G0100030010600,01003010600,G0100030010600,01003010600,1,1,1,1,1,1,1,1
G0100030010701,01003010701,G0100030010300,01003010300,0,0,0,0,0,0,0,0
G0100030010701,01003010701,G0100030010706,01003010706,0.1236529393,0.4761481857,0.4671644324,0.4842332613,0.4577603143,0.4585987261,0.4935327405,0.3051724138
G0100030010701,01003010701,G0100030010707,01003010707,0.8763470607,0.5238518143,0.5328355676,0.5157667387,0.5422396857,0.5414012739,0.5064672595,0.6948275862
G0100030010703,01003010703,G0100030010300,01003010300,0,0,0,0,0,0,0,0
G0100030010703,01003010703,G0100030010708,01003010708,0.5657202688,0.5122284673,0.5174313871,0.4955145119,0.5399753998,0.549619703,0.4556244942,0.8070025619
G0100030010703,01003010703,G0100030010709,01003010709,0.4342797312,0.4877715327,0.4825686129,0.5044854881,0.4600246002,0.450380297,0.5443755058,0.1929974381
G0100030010704,01003010704,G0100030010704,01003010704,0.9998626031,1,1,1,1,1,1,1
G0100030010704,01003010704,G0100030010710,01003010710,0.0001373969,0,0,0,0,0,0,0
G0100030010705,01003010705,G0100030010704,01003010704,0.000022073,0.0004801344,0.0006206362,0.0004746084,0.0002710762,0.0002336995,0.0004612546,0
G0100030010705,01003010705,G0100030010709,01003010709,0.0015290128,0.0011415125,0.0011235574,0.0010939715,0.0011126458,0.0010294621,0.001103011,0.0011263791
G0100030010705,01003010705,G0100030010710,01003010710,0.7943442162,0.5198043523,0.5095048367,0.5072116764,0.5215222145,0.5250280279,0.4855206052,0.5728381179
G0100030010705,01003010705,G0100030010711,01003010711,0.2041046981,0.4785740007,0.4887509697,0.4912197437,0.4770940634,0.4737088105,0.5129151292,0.426035503
G0100030010800,01003010800,G0100030010800,01003010800,1,1,1,1,1,1,1,1
G0100030010903,01003010903,G0100030010903,01003010903,1,1,1,1,1,1,1,1
G0100030010904,01003010904,G0100030010904,01003010904,1,1,1,1,1,1,1,1
G0100030010905,01003010905,G0100030010907,01003010907,0.564831967,0.423917114,0.4351131847,0.4346049046,0.427,0.4280553883,0.5048923679,0.260460251
G0100030010905,01003010905,G0100030010908,01003010908,0.435168033,0.576082886,0.5648868153,0.5653950954,0.573,0.5719446117,0.4951076321,0.739539749
G0100030010906,01003010906,G0100030010904,01003010904,0.0012286242,0,0,0,0,0,0,0
G0100030010906,01003010906,G0100030010906,01003010906,0.9987713758,1,1,1,1,1,1,1
G0100030011000,01003011000,G0100030011000,01003011000,1,1,1,1,1,1,1,1
G0100030011101,01003011101,G0100030011103,01003011103,0.4686099343,0.2991544599,0.2856686882,0.298973306,0.2676015191,0.2622114868,0.2679836004,0.2662162162
G0100030011101,01003011101,G0100030011104,01003011104,0.5313900657,0.7008455401,0.7143313118,0.701026694,0.7323984809,0.7377885132,0.7320163996,0.7337837838
G0100030011102,01003011102,G0100030011102,01003011102,0.9982351065,0.9994615862,0.9992638177,0.9990644816,0.9992800078,0.9993630133,0.9991371276,1
G0100030011102,01003011102,G0100030011104,01003011104,0.0017644743,0.000538358,0.000736106,0.0009354537,0.0007199424,0.0006369427,0.0008628128,0
G0100030011102,01003011102,G0100030011300,01003011300,0.0000004192,0.0000000558,0.0000000763,0.0000000647,0.0000000498,0.000000044,0.0000000596,0
G0100030011201,01003011201,G0100030011201,01003011201,1,1,1,1,1,1,1,1
G0100030011202,01003011202,G0100030011202,01003011202,1,1,1,1,1,1,1,1
G0100030011300,01003011300,G0100030011300,01003011300,1,1,1,1,1,1,1,1
G0100030011401,01003011401,G0100030011409,01003011409,0.325895952,0.459743971,0.44857156,0.4601591534,0.442654257,0.4205972573,0.4426526194,0.44266043
G0100030011401,01003011401,G0100030011410,01003011410,0.6740938996,0.5402558315,0.5514282212,0.5398406375,0.5573455157,0.5794025157,0.557347125,0.5573394495
G0100030011401,01003011401,G0100030011411,01003011411,0.000010027,0,0,0,0,0,0,0
G0100030011401,01003011401,G0100030011412,01003011412,0,0,0,0,0,0,0,0
G0100030011401,01003011401,G0100030011501,01003011501,0.0000001214,0.0000001975,0.0000002188,0.0000002092,0.0000002272,0.000000227,0.0000002555,0.0000001204
G0100030011403,01003011403,G0100030011411,01003011411,0.4836323502,0.3940422736,0.3902904677,0.3913388955,0.3754342432,0.3360111771,0.4390363815,0.3106212425
G0100030011403,01003011403,G0100030011412,01003011412,0.2673073946,0.3030336217,0.3054684304,0.2888359158,0.3158808933,0.3215158924,0.2689282203,0.3637274549
G0100030011403,01003011403,G0100030011413,01003011413,0.2490602551,0.3029241047,0.3042411019,0.3198251887,0.3086848635,0.3424729305,0.2920353982,0.3256513026
G0100030011403,01003011403,G0100030011417,01003011417,0,0,0,0,0,0,0,0
G0100030011405,01003011405,G0100030011414,01003011414,0.49811287,0.6082985386,0.5952307216,0.5825,0.6016713092,0.3419071518,0.5586822237,0.7869822485
G0100030011405,01003011405,G0100030011415,01003011415,0.50188713,0.3917014614,0.4047692784,0.4175,0.3983286908,0.6580928482,0.4413177763,0.2130177515
G0100030011405,01003011405,G0100030011417,01003011417,0,0,0,0,0,0,0,0
G0100030011406,01003011406,G0100030011414,01003011414,0,0,0,0,0,0,0,0
G0100030011406,01003011406,G0100030011417,01003011417,0.4757502278,0.5120164127,0.493068565,0.5180023229,0.4764150943,0.2180429033,0.5319727891,0.4218958611
G0100030011406,01003011406,G0100030011418,01003011418,0.5242497722,0.4879835873,0.506931435,0.4819976771,0.5235849057,0.7819570967,0.4680272109,0.5781041389
G0100030011407,01003011407,G0100030011416,01003011416,0.3995189561,0.267347364,0.2838660578,0.2677442024,0.2850532161,0.6681303116,0.3196022727,0.2204515272
G0100030011407,01003011407,G0100030011418,01003011418,0.0001735524,0,0,0,0,0,0,0
G0100030011407,01003011407,G0100030011419,01003011419,0.6003074915,0.732652636,0.7161339422,0.7322557976,0.7149467839,0.3318696884,0.6803977273,0.7795484728
G0100030011408,01003011408,G0100030011419,01003011419,1,1,1,1,1,1,1,1
G0100030011501,01003011501,G0100030011501,01003011501,1,1,1,1,1,1,1,1
G0100030011502,01003011502,G0100030011503,01003011503,0.4798834948,0.5280994874,0.5135434622,0.515485203,0.5233256351,0.5322053451,0.4705882353,0.600113443
G0100030011502,01003011502,G0100030011504,01003011504,0.5201147907,0.4719005126,0.4864565378,0.484514797,0.4766743649,0.4677946549,0.5294117647,0.399886557
G0100030011502,01003011502,G0100030011601,01003011601,0.0000017145,0,0,0,0,0,0,0
G0100030011601,01003011601,G0100030011411,01003011411,0,0,0,0,0,0,0,0
G0100030011601,01003011601,G0100030011504,01003011504,0,0,0,0,0,0,0,0
G0100030011601,01003011601,G0100030011601,01003011601,1,1,1,1,1,1,1,1
G0100030011602,01003011602,G0100030011603,01003011603,0.6841727938,0.5282941777,0.5247410817,0.5230574858,0.5270607827,0.4700801974,0.5218207414,0.5682656827
G0100030011602,01003011602,G0100030011604,01003011604,0.3158272062,0.4717058223,0.4752589183,0.4769425142,0.4729392173,0.5299198026,0.4781792586,0.4317343173
G0100030990000,01003990000,G0100030990000,01003990000,1,1,1,1,1,1,1,1
G0100050950100,01005950100,G0100050950100,01005950100,0.9999998351,1,1,1,1,1,1,1
G0100050950100,01005950100,G0100050950800,01005950800,0.0000001649,0,0,0,0,0,0,0
G0100050950200,01005950200,G0100050950200,01005950200,1,1,1,1,1,1,1,1
G0100050950300,01005950300,G0100050950300,01005950300,1,1,1,1,1,1,1,1
G0100050950400,01005950400,G0100050950400,01005950400,1,1,1,1,1,1,1,1
G0100050950500,01005950500,G0100050950500,01005950500,1,1,1,1,1,1,1,1
G0100050950600,01005950600,G0100050950600,01005950600,1,1,1,1,1,1,1,1
G0100050950700,01005950700,G0100050950700,01005950700,1,1,1,1,1,1,1,1
G0100050950800,01005950800,G0100050950800,01005950800,0.9957798428,1,1,1,1,1,1,1
G0100050950800,01005950800,G0100050950900,01005950900,0.0042201572,0,0,0,0,0,0,0
G0100050950900,01005950900,G0100050950900,01005950900,1,1,1,1,1,1,1,1
G0100070010001,01007010001,G0100070010001,01007010001,0.9858915066,0.9974301997,0.9975259543,0.9972843647,0.9969826702,0.9974155689,0.9962722704,1
G0100070010001,01007010001,G0100070010011,01007010011,0.0141084934,0.0025698003,0.0024740457,0.0027156353,0.0030173298,0.0025844311,0.0037277296,0
G0100070010002,01007010002,G0100070010005,01007010005,0.3514406356,0.7113692946,0.7127683616,0.7137681159,0.7127272727,0.7041515518,0.7158693116,0.7016460905
G0100070010002,01007010002,G0100070010006,01007010006,0.6485593644,0.2886307054,0.2872316384,0.2862318841,0.2872727273,0.2958484482,0.2841306884,0.2983539095
G0100070010003,01007010003,G0100070010007,01007010007,0.5650857083,0.496753849,0.4944791167,0.4873786408,0.5045563549,0.5071488646,0.506779661,0.4920634921
G0100070010003,01007010003,G0100070010008,01007010008,0.4349142917,0.503246151,0.5055208833,0.5126213592,0.4954436451,0.4928511354,0.493220339,0.5079365079
G0100070010003,01007010003,G0100070010009,01007010009,0,0,0,0,0,0,0,0
G0100070010004,01007010004,G0100070010001,01007010001,0.0001841359,0.0000307321,0.0000284728,0.0000484047,0.0000378269,0.000038711,0.0000391611,0.0000354138
G0100070010004,01007010004,G0100070010007,01007010007,0,0,0,0,0,0,0,0
G0100070010004,01007010004,G0100070010009,01007010009,0.1319716154,0.4873959165,0.5124700578,0.3405196241,0.3234743542,0.3248816768,0.2738372093,0.4132492114
G0100070010004,01007010004,G0100070010010,01007010010,0.1072657979,0.309227786,0.2963223897,0.3830845771,0.4144515163,0.4110885734,0.3936046512,0.4521556257
G0100070010004,01007010004,G0100070010011,01007010011,0.7605784508,0.2033455654,0.1911790797,0.276347394,0.2620363027,0.2639910389,0.3325189785,0.1345597492
G0100090050101,01009050101,G0100090050103,01009050103,0.4721547466,0.225884449,0.2240325866,0.2435233161,0.2261780105,0.2194367069,0.2438146649,0.1651090343
G0100090050101,01009050101,G0100090050106,01009050106,0.0930209127,0.3861033342,0.3813645621,0.3518605747,0.3762652705,0.3670690189,0.3207377418,0.5685358255
G0100090050101,01009050101,G0100090050107,01009050107,0.4348243408,0.3880122168,0.3946028513,0.4046161093,0.397556719,0.4134942742,0.4354475933,0.2663551402
G0100090050102,01009050102,G0100090050104,01009050104,0.4155605913,0.2808510638,0.2787481805,0.3046462513,0.2791120815,0.2848684211,0.3304858516,0.1691428571
G0100090050102,01009050102,G0100090050105,01009050105,0.5844394087,0.7191489362,0.7212518195,0.6953537487,0.7208879185,0.7151315789,0.6695141484,0.8308571429
G0100090050200,01009050200,G0100090050200,01009050200,1,1,1,1,1,1,1,1
G0100090050300,01009050300,G0100090050301,01009050301,0.4598121453,0.5276143481,0.5290504223,0.5391363023,0.5258493353,0.5259884496,0.5267965895,0.5218508997
G0100090050300,01009050300,G0100090050302,01009050302,0.5401878547,0.4723856519,0.4709495777,0.4608636977,0.4741506647,0.4740115504,0.4732034105,0.4781491003
G0100090050400,01009050400,G0100090050400,01009050400,1,1,1,1,1,1,1,1
G0100090050500,01009050500,G0100090050501,01009050501,0.5491742366,0.5745667895,0.5727423211,0.5662299854,0.5813449024,0.5904339563,0.5314392175,0.7544426494
G0100090050500,01009050500,G0100090050502,01009050502,0.4508257634,0.4254332105,0.4272576789,0.4337700146,0.4186550976,0.4095660437,0.4685607825,0.2455573506
G0100090050601,01009050601,G0100090050601,01009050601,0.9976407754,1,1,1,1,1,1,1
G0100090050601,01009050601,G0100090050603,01009050603,0.0000717562,0,0,0,0,0,0,0
G0100090050601,01009050601,G0100090050604,01009050604,0.0022874683,0,0,0,0,0,0,0
G0100090050602,01009050602,G0100090050603,01009050603,0.3028816599,0.422392286,0.4021859803,0.4120802116,0.4010219587,0.4027130456,0.4100750621,0.3288411501
G0100090050602,01009050602,G0100090050604,01009050604,0.6971183401,0.577607714,0.5978140197,0.5879197884,0.5989780413,0.5972869544,0.5899249379,0.6711588499
G0100090050700,01009050700,G0100090050701,01009050701,0.5771874743,0.6424235483,0.63965311,0.6448044251,0.6437443199,0.6470588235,0.6358754028,0.687007874
G0100090050700,01009050700,G0100090050702,01009050702,0.4228125257,0.3575764517,0.36034689,0.3551955749,0.3562556801,0.3529411765,0.3641245972,0.312992126
G0100110952100,01011952100,G0100110952100,01011952100,1,1,1,1,1,1,1,1
G0100110952200,01011952200,G0100110952201,01011952201,0.4741905194,0.3779217122,0.3413973641,0.4678492239,0.4615021256,0.4574209246,0.4481393508,0.481264637
G0100110952200,01011952200,G0100110952202,01011952202,0.5258094806,0.6220782878,0.6586026359,0.5321507761,0.5384978744,0.5425790754,0.5518606492,0.518735363
G0100110952500,01011952500,G0100110952500,01011952500,1,1,1,1,1,1,1,1
G0100130952700,01013952700,G0100130952700,01013952700,1,1,1,1,1,1,1,1
G0100130952800,01013952800,G0100130952800,01013952800,1,1,1,1,1,1,1,1
G0100130952900,01013952900,G0100130952900,01013952900,1,1,1,1,1,1,1,1
G0100130953000,01013953000,G0100130953000,01013953000,1,1,1,1,1,1,1,1
G0100130953100,01013953100,G0100130952900,01013952900,0.0000053416,0.0000388397,0.0000456365,0.0000264205,0.0000416586,0.0000390698,0.0000349963,0.000049143
G0100130953100,01013953100,G0100130953100,01013953100,0.9999946584,0.9999611603,0.9999543635,0.9999735795,0.9999583414,0.9999609302,0.9999650037,0.999950857
G0100130953200,01013953200,G0100130953200,01013953200,1,1,1,1,1,1,1,1
G0100130953300,01013953300,G0100130953300,01013953300,1,1,1,1,1,1,1,1
G0100130953400,01013953400,G0100130953400,01013953400,1,1,1,1,1,1,1,1
G0100130953500,01013953500,G0100130953400,01013953400,0.0025989433,0.0011280793,0.0011907112,0.0014237306,0.0011048334,0.0010864698,0.0014055303,0
