unitid,finaid1,finaid2,finaid3,finaid4,finaid5,finaid6,finaid7,finaid8,finaid9,jtpa,rotc,rotc1,rotc2,rotc3,athaid,athaid1,athaid2,athaid3,athaid4,athaid5,ftslt15,facpt,facml,facrl,facmd,pctpost,"ein","chfnm","chftitle",licensed,imp1,imp2,imp3,imp4,imp5,imp6,imp7,imp8,imp9,imp10,imp11,imp12,imp13,imp14,imp15,imp16,imp17,imp18,imp19,imp20,imp21,imp22,imp23,imp24,imp25,imp26,imp27,imp28,imp29,imp30,imp31,imp32,imp33,imp34,imp35,imp36,imp37,imp38,imp39,imp40,imp41,imp42,imp43,imp44,imp45,imp46,imp47,imp48,imp49,imp50,imp51,imp52,imp53,imp54,imp55,imp56,imp57,imp58,imp59,imp60,imp61,imp62,imp63,imp64,imp65,imp66,imp67,imp68,imp69,imp70,imp71,imp72,imp73,imp74,imp75,imp76,imp77,imp78,imp79,imp80,imp81,imp82,imp83,imp84,imp85,imp86,imp87,imp88,imp89,imp90,imp91,imp92,imp93,imp94,imp95,imp96,imp97,imp98,imp99,imp100,imp101,imp102,imp103,imp104
"218663","1","1","1","1","1","1","-1","1","-1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","","JOHN M PALMS","PRESIDENT","-1","R","R","N","R","R","R","R","N","R","R","R","R","N","N","N","N","R","R","N","N","N","N","R","R","N","N","N","N","R","R","N","N","N","N","R","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","N","N","N","N","N","N","N"
"228778","1","1","1","1","1","1","-1","1","-1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","","ROBERT M BERDAHL","PRESIDENT","-1","R","R","R","R","R","R","R","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","R","R","N","N","N","N","R","R","N","N","N","N","R","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","C","N","C","C","R","R","R","C","C","C","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","N","N","N","N","N","N","N"
"233921","1","1","1","1","1","1","-1","1","-1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","","PAUL E TORGERSEN","PRESIDENT","-1","R","R","R","R","R","R","R","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","N","N","N","N","N","N","R","R","N","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","R","R","R","R","N","R","R"
"234085","1","1","1","1","1","1","-1","1","-1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","546001803","JOSIAH BUNTING III","SUPERINTENDENT","-1","R","N","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","A","N","Z","Z","R","Z","Z","A","A","A","G","Z","Z","Z","A","Z","Z","Z","R","N","N","C","N","N","N","N","N","N","N","N","N","N"
"243780","1","1","1","1","1","1","-1","1","-1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","356002041","STEVEN C BEERING","PRESIDENT","-1","R","R","N","R","R","R","R","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","R","R","N","N","R","R","N","N","N","N","N","N","R","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","R","R","R","R","N","R","N"
"122755","1","1","1","1","1","1","1","-1","-1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","","ROBERT L CARET","PRESIDENT","-1","R","R","N","R","R","R","R","N","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","Z","R","R","Z","R","R","R","R","Z","G","Z","R","Z","R","Z","J","N","N","J","N","N","N","J","N","N","N","J","N","N"
"170976","1","1","1","1","1","1","1","-1","-1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","","JAMES J DUDERSTADT","PRESIDENT","-1","R","R","J","R","R","R","R","N","R","R","R","R","N","N","R","R","R","R","N","N","N","N","R","R","N","N","N","N","R","R","N","N","N","N","R","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","R","R","R","R","N","R","R"
"230764","1","1","1","1","1","1","1","-1","-1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","876000525","ARTHUR K SMITH","PRESIDENT","-1","R","R","R","R","R","R","R","N","R","R","R","R","N","N","N","N","R","R","N","N","N","N","R","R","N","N","N","N","R","R","N","N","N","N","N","R","N","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","N","N","N","N","N","N","N"
"181464","1","1","1","1","1","1","-1","-1","-1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","470491233","JAMES MOESER","CHANCELLOR","-1","R","R","R","R","R","A","R","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","N","N","N","N","R","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","A","R","R","R","A","A","A","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","N","N","N","N","N","N","N"
"216597","1","1","1","1","1","1","-1","-1","-1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","","231352688","EDMUND J DOBBIN","PRESIDENT","-1","R","R","R","R","R","R","R","N","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","N","N","N","N","R","R","R","R","R","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","Z","R","R","R","Z","R","R","R","R","R","R","N","R","R","N","N","N","N","N","N","N"
