unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,public1,public2,public3,public4,public5,public6,public7,public8,public9,private,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,multype,fopna,fopna1,fopna2,insttoyr,licensed,accrd1,accrd2,accrd3,accrd4,regaccrd,saccr
"100636","1","1","-2","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"100654","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","1","-5","1","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"100663","-5","1","1","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","-5","-5","1","1","1","1","1","1","1","-5","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"100690","-5","1","1","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","56","1","1","-5","1","1","-5","1","-5","1","1","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","2"
"100706","-5","1","1","1","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","1","1","1","1","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"100724","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","1","-5","1","-5","1","1","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1"
"100733","1","1","1","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","1","1","-5","1","1","1","1","1","1","1","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"100751","1","1","1","1","1","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","1","1","1","1","1","-5","-5","-5","1","1","-5","-2","-2","1","1","1","-5","8","1"
"100760","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","1"
"100788","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-4","-2","-2","-2","-5","-5","1","-5","-2","2"
"100797","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2"
"100812","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","-5","-5","8","2"
"100830","-5","1","1","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","1","1","1","-5","-5","-5","-5","1","1","-5","-2","-2","1","1","1","-5","8","1"
"100858","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","1","1","1","1","-5","-5","-5","2","-2","-2","-2","-2","1","1","-5","-5","8","1"
"100885","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","54","-5","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"100900","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-4","-2","-2","-2","-5","-5","1","-5","-2","2"
"100919","1","-5","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1"
"100928","-5","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","2","-2","-2","-2","-2","-5","-5","-5","1","-2","2"
"100937","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","71","-5","-5","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","1","-5","8","1"
"101000","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-1","-1","-1","-1","-2","2"
