GISJOIN,YEAR,STUSAB,REGION,DIVISION,STATE,STATEA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,COUSUBCC,PLACE,PLACEA,PLACECC,PLACEDC,TRACTA,BLCK_GRPA,AIANHHA,AIANHHCC,MSACMSA,CMSA,MACCI,NECMA,NECMACCI,UA,UATYPE,URBRURALA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,HD1001,HD1002,HD1003,HD1004,HD1005,HD1006,HD1007,HD1008,HD1009,HD1010,HD1011,HD1012,HD1013,HD1014,HD1015,HD1016,HD1017,HD1018,HD1019,HD1020,HD1021,HD1022,HD1023,HD1024,HD1025,HD1026,HD1027,HD1028,HD1029,HD1030,HD1031,HD1032
GIS Join Match Code,Data File Year,File Identification,Region,Division,State Name,State Code,County Name,County Code,County Subdivision Name,County Subdivision Code,FIPS County Subdivion Class Code,Place Name,Place Code,FIPS Place Class Code,Place Description Code,Census Tract Code,Block Group Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,FIPS American Indian Area/Alaska Native Area/Hawaiian Home Land Class Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area,Consolidated Metropolitan Statistical Area,Metropolitan Area Central City Indicator,New England County Metropolitan Area,New England County Metropolitan Area Central City Indicator,Urban Area,Urban Area Type,Urban/Rural Code,Area (Land),Area (Water),Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Functional Status Code,Internal Point (Latitude),Internal Point (Longitude),Legal/Statistical Area Description Code,Male >> No schooling completed,Male >> Nursery to 4th grade,Male >> 5th and 6th grade,Male >> 7th and 8th grade,Male >> 9th grade,Male >> 10th grade,Male >> 11th grade,"Male >> 12th grade, no diploma",Male >> High school graduate (includes equivalency),"Male >> Some college, less than 1 year","Male >> Some college, 1 or more years, no degree",Male >> Associate degree,Male >> Bachelor's degree,Male >> Master's degree,Male >> Professional school degree,Male >> Doctorate degree,Female >> No schooling completed,Female >> Nursery to 4th grade,Female >> 5th and 6th grade,Female >> 7th and 8th grade,Female >> 9th grade,Female >> 10th grade,Female >> 11th grade,"Female >> 12th grade, no diploma",Female >> High school graduate (includes equivalency),"Female >> Some college, less than 1 year","Female >> Some college, 1 or more years, no degree",Female >> Associate degree,Female >> Bachelor's degree,Female >> Master's degree,Female >> Professional school degree,Female >> Doctorate degree
"G21000109055299999970200R1","2000","KY","3","6","Kentucky","21","Adair","001","Cane Valley CCD","90552","Z5",,"99999","99","9","970200","1",,,"9999","99","9","9999","9","99999","9","R","104890259","7013619","Block Group 1","S","+37178912","-085323634",,0,10,7,99,29,27,5,20,146,46,73,29,13,0,13,0,4,0,6,85,8,18,24,12,186,36,78,10,38,11,5,0
"G21000109062499999970100R1","2000","KY","3","6","Kentucky","21","Adair","001","Casey Creek CCD","90624","Z5",,"99999","99","9","970100","1",,,"9999","99","9","9999","9","99999","9","R","69387437","4893578","Block Group 1","S","+37257068","-085204666",,13,6,11,42,12,41,5,8,91,6,11,0,0,5,0,0,0,0,18,60,14,7,13,18,122,7,10,16,5,9,0,0
"G21000109062499999970100R2","2000","KY","3","6","Kentucky","21","Adair","001","Casey Creek CCD","90624","Z5",,"99999","99","9","970100","2",,,"9999","99","9","9999","9","99999","9","R","107004757","1834382","Block Group 2","S","+37235711","-085122520",,0,5,0,58,11,5,10,20,75,5,12,6,15,0,0,0,0,0,4,45,4,5,22,6,69,20,10,19,17,4,0,0
"G21000109078416750970400R2","2000","KY","3","6","Kentucky","21","Adair","001","Columbia CCD","90784","Z5","Columbia city","16750","C1","8","970400","2",,,"9999","99","9","9999","9","99999","9","R","8452","0","Block Group 2 (part)","S","+37110924","-085317071",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G21000109078416750970400R3","2000","KY","3","6","Kentucky","21","Adair","001","Columbia CCD","90784","Z5","Columbia city","16750","C1","8","970400","3",,,"9999","99","9","9999","9","99999","9","R","615983","0","Block Group 3 (part)","S","+37098370","-085317850",,0,0,0,8,6,0,0,0,0,8,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,20,0,0,0,0,0
"G21000109078416750970400R6","2000","KY","3","6","Kentucky","21","Adair","001","Columbia CCD","90784","Z5","Columbia city","16750","C1","8","970400","6",,,"9999","99","9","9999","9","99999","9","R","897133","0","Block Group 6 (part)","S","+37087183","-085297396",,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"G21000109078416750970400U2","2000","KY","3","6","Kentucky","21","Adair","001","Columbia CCD","90784","Z5","Columbia city","16750","C1","8","970400","2",,,"9999","99","9","9999","9","18883","C","U","1518741","0","Block Group 2 (part)","S","+37107171","-085316097",,10,0,9,11,0,14,11,0,88,29,24,12,11,15,0,0,16,0,0,41,14,8,26,0,65,31,16,24,24,62,0,0
"G21000109078416750970400U3","2000","KY","3","6","Kentucky","21","Adair","001","Columbia CCD","90784","Z5","Columbia city","16750","C1","8","970400","3",,,"9999","99","9","9999","9","18883","C","U","1156083","0","Block Group 3 (part)","S","+37101120","-085314543",,0,7,0,25,15,16,6,0,62,23,14,7,8,0,7,0,0,0,12,37,7,14,6,14,112,19,26,16,20,8,19,0
"G21000109078416750970400U4","2000","KY","3","6","Kentucky","21","Adair","001","Columbia CCD","90784","Z5","Columbia city","16750","C1","8","970400","4",,,"9999","99","9","9999","9","18883","C","U","2095428","0","Block Group 4","S","+37096122","-085306723",,0,0,12,67,27,0,15,9,90,0,24,0,34,9,0,11,8,0,35,75,10,6,32,22,59,28,38,9,17,17,0,0
