bgp1990gj,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G18001907812838358050604099999999452015,G2101110007502,21111007502,0,0,0,0,0,0,0,0
G180123077534999999522099999999999924,G2101630970500,21163970500,0,0,0,0,0,0,0,0
G180129005428999990405089999999999921,G2101010020900,21101020900,0.0069454442,0,0,0,0,0,0,0
G210001090552999999702059999999999921,G2100010970200,21001970200,1,1,1,1,1,1,1,1
G210001090624999999701059999999999921,G2100010970100,21001970100,1,1,1,1,1,1,1,1
G210001090624999999701059999999999922,G2100010970100,21001970100,1,1,1,1,1,1,1,1
G210001090784167509704059999999999912,G2100010970401,21001970401,0.4030065571,0.4760276471,0.4437531504,0.4877874284,0.5002233919,0.498897237,0.4055299539,0.7165231396
G210001090784167509704059999999999912,G2100010970402,21001970402,0.5969934429,0.5239723529,0.5562468496,0.5122125716,0.4997766081,0.501102763,0.5944700461,0.2834768604
G210001090784167509704059999999999913,G2100010970401,21001970401,1,1,1,1,1,1,1,1
G210001090784167509704059999999999914,G2100010970401,21001970401,1,1,1,1,1,1,1,1
G210001090784167509704059999999999915,G2100010970401,21001970401,0.1809851256,0.2169230769,0.185645933,0.24,0.2829787234,0.2713178295,0.0987654321,0.4801762115
G210001090784167509704059999999999915,G2100010970402,21001970402,0.8190148744,0.7830769231,0.814354067,0.76,0.7170212766,0.7286821705,0.9012345679,0.5198237885
G210001090784167509704059999999999916,G2100010970401,21001970401,1,1,1,1,1,1,1,1
G210001090784999999704059999999999921,G2100010970401,21001970401,0.0717797341,0.0896589659,0.0918442322,0.0863970588,0.0894660895,0.085413929,0.087037037,0.0980392157
G210001090784999999704059999999999921,G2100010970402,21001970402,0.9282202659,0.9103410341,0.9081557678,0.9136029412,0.9105339105,0.914586071,0.912962963,0.9019607843
G210001090784999999704059999999999922,G2100010970401,21001970401,0.8547801495,0.8073770492,0.7683615819,0.7746478873,0.7956989247,0.7894736842,0.8289473684,0.6470588235
G210001090784999999704059999999999922,G2100010970402,21001970402,0.1452198505,0.1926229508,0.2316384181,0.2253521127,0.2043010753,0.2105263158,0.1710526316,0.3529411765
G210001090784999999704059999999999923,G2100010970401,21001970401,1,1,1,1,1,1,1,1
