tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G1701530971000,17153971000,G2100070950200,21007950200,0.0005558264,0,0,0,0,0,0,0
G1801630010403,18163010403,G2101010020604,21101020604,0.0005959815,0,0,0,0,0,0,0
G2100010970100,21001970100,G2100010970100,21001970100,1,1,1,1,1,1,1,1
G2100010970200,21001970200,G2100010970200,21001970200,1,1,1,1,1,1,1,1
G2100010970300,21001970300,G2100010970300,21001970300,1,1,1,1,1,1,1,1
G2100010970401,21001970401,G2100010970401,21001970401,1,1,1,1,1,1,1,1
G2100010970402,21001970402,G2100010970401,21001970401,0.0000299312,0,0,0,0,0,0,0
G2100010970402,21001970402,G2100010970402,21001970402,0.9999700688,1,1,1,1,1,1,1
G2100010970500,21001970500,G2100010970500,21001970500,1,1,1,1,1,1,1,1
G2100010970600,21001970600,G2100010970600,21001970600,1,1,1,1,1,1,1,1
G2100030920100,21003920100,G2100030920100,21003920100,1,1,1,1,1,1,1,1
G2100030920100,21003920100,G2100090950900,21009950900,0,0,0,0,0,0,0,0
G2100030920200,21003920200,G2100030920200,21003920200,0.9999980971,1,1,1,1,1,1,1
G2100030920200,21003920200,G2100030920300,21003920300,0.0000019029,0,0,0,0,0,0,0
G2100030920300,21003920300,G2100030920300,21003920300,1,1,1,1,1,1,1,1
G2100030920400,21003920400,G2100030920100,21003920100,0.0000025694,0,0,0,0,0,0,0
G2100030920400,21003920400,G2100030920400,21003920400,0.9999974306,1,1,1,1,1,1,1
G2100030920500,21003920500,G2100030920400,21003920400,0,0,0,0,0,0,0,0
G2100030920500,21003920500,G2100030920500,21003920500,1,1,1,1,1,1,1,1
G2100030920600,21003920600,G2100030920600,21003920600,1,1,1,1,1,1,1,1
G2100050950100,21005950100,G2100050950101,21005950101,0.3835710365,0.229668867,0.236344213,0.2347357762,0.2331972827,0.2301629702,0.2408312464,0.2116791638
G2100050950100,21005950100,G2100050950102,21005950102,0.6164289635,0.770331133,0.763655787,0.7652642238,0.7668027173,0.7698370298,0.7591687536,0.7883208362
G2100050950201,21005950201,G2100050950102,21005950102,0.0017661945,0,0,0,0,0,0,0
G2100050950201,21005950201,G2100050950201,21005950201,0.9982338055,1,1,1,1,1,1,1
G2100050950202,21005950202,G2100050950202,21005950202,1,1,1,1,1,1,1,1
G2100050950300,21005950300,G2100050950300,21005950300,1,1,1,1,1,1,1,1
G2100050950400,21005950400,G2100050950400,21005950400,1,1,1,1,1,1,1,1
G2100070950100,21007950100,G2100070950100,21007950100,1,1,1,1,1,1,1,1
G2100070950200,21007950200,G2100070950200,21007950200,1,1,1,1,1,1,1,1
G2100070950300,21007950300,G2100070950300,21007950300,1,1,1,1,1,1,1,1
G2100090950100,21009950100,G2100090950100,21009950100,1,1,1,1,1,1,1,1
G2100090950200,21009950200,G2100090950200,21009950200,1,1,1,1,1,1,1,1
G2100090950300,21009950300,G2100090950300,21009950300,0.9999998792,1,1,1,1,1,1,1
G2100090950300,21009950300,G2100090950500,21009950500,0.0000001208,0,0,0,0,0,0,0
G2100090950400,21009950400,G2100090950401,21009950401,0.6413051321,0.3866328257,0.3700646888,0.354,0.3390370076,0.331686662,0.2490875912,0.4086097389
