county_fips,county,ba_1990,ba_2000,ba_2012,ba_2024,growth_1990_2024,growth_per_decade
21037,Campbell,14.91911779,20.54420817,27.51886523,39.74477222,24.82565443,7.301663067
21185,Oldham,22.91795335,30.62306527,39.29360932,46.41832575,23.5003724,6.911874236
21239,Woodford,19.47802874,25.88418719,30.07062394,40.7421014,21.26407266,6.254139018
21117,Kenton,17.04400333,22.89533817,28.075902,37.42576616,20.38176283,5.994636126
21015,Boone,15.33938716,22.82624508,28.8629555,35.70810062,20.36871346,5.990798078
21211,Shelby,12.93753402,18.66610633,23.58775485,32.82728016,19.88974614,5.849925336
21209,Scott,15.18360443,20.29028248,26.96057371,34.73072138,19.54711695,5.749152044
21067,Fayette,30.57641572,35.64744088,39.89274853,48.29331934,17.71690363,5.210854007
21111,Jefferson,19.34882873,24.8375994,29.81319966,37.02823891,17.67941018,5.199826523
21005,Anderson,9.850196423,11.99970346,19.5934597,26.20283019,16.35263377,4.809598166
21167,Mercer,8.912753782,13.50473231,17.79299126,24.90507314,15.99231936,4.703623341
21151,Madison,19.12375287,21.83026706,26.6611977,34.43228318,15.30853031,4.502508915
21145,McCracken,14.30485998,18.10027088,21.19821681,29.04062592,14.73576593,4.334048803
21017,Bourbon,11.76613688,13.4613907,15.97252667,26.25686218,14.4907253,4.261978029
21113,Jessamine,19.05951971,21.52443405,27.43702081,33.53239529,14.47287557,4.25672811
21179,Nelson,9.345270498,13.37129524,15.00294924,23.8125588,14.4672883,4.255084795
21001,Adair,7.394848521,10.94061531,15.05011316,21.7594759,14.36462738,4.224890406
21097,Harrison,8.59682818,10.61756439,13.97592221,22.46920997,13.87238179,4.080112292
21003,Allen,4.628553313,9.104182771,11.02092486,18.41749932,13.78894601,4.055572356
21215,Spencer,9.848029223,11.05503151,15.64366721,23.5879695,13.73994028,4.041158905
21029,Bullitt,6.319058103,9.206492101,12.48518452,19.46932117,13.15026307,3.867724432
21227,Warren,19.24351725,24.69457276,27.53729836,32.33429195,13.0907747,3.850227852
21057,Cumberland,6.131355951,7.119870509,12.17881763,19.1241556,12.99279965,3.821411662
21217,Taylor,10.09979433,12.16990474,14.03792353,23.01568989,12.91589556,3.798792812
21079,Garrard,6.327160494,10.50145714,15.8082308,18.71606515,12.38890466,3.643795489
21059,Daviess,14.08588868,17.01899741,19.03651304,26.24085966,12.15497098,3.574991465
21175,Morgan,6.662116041,7.735221543,10.79759601,18.73849433,12.07637829,3.551875968
21229,Washington,7.542360174,13.32586786,13.95080707,19.58907308,12.04671291,3.543150855
21093,Hardin,12.9424088,15.36550259,19.77837525,24.84744903,11.90504023,3.50148242
21021,Boyle,14.42108868,19.27393181,23.71508438,26.21187494,11.79078626,3.467878312
21035,Calloway,19.39380865,24.04431343,28.11581292,31.18416043,11.79035178,3.467750522
21173,Montgomery,9.165260945,13.39735103,15.40228597,20.93119077,11.76592983,3.460567596
21157,Marshall,9.636634084,13.69019645,16.06621227,21.21906904,11.58243496,3.406598517
21053,Clinton,6.580925338,7.961783439,7.871761843,18.04076666,11.45984132,3.370541564
21023,Bracken,6.499202737,9.523818763,14.88380344,17.8450034,11.34580066,3.337000195
21119,Knott,8.174035401,10.24715731,13.11504582,19.49808944,11.32405403,3.330604128
21187,Owen,7.355190995,9.115593386,18.09754131,18.28310965,10.92791865,3.214093721
21087,Green,6.837727337,9.094325442,10.43160941,17.39288749,10.55516015,3.104458868
