year,mean_ba,sd_ba,p10,p90,n_counties,p90_p10,cv
1940,3.280741748,1.71471291,1.553863162,5.257194652,3107,3.7033315,0.52266014
1970,7.335413482,3.953417779,3.770599868,11.74448492,3141,7.9738851,0.53894955
1980,11.48602792,5.461648355,6.569608735,18.14985717,3137,11.580249,0.47550365
1990,13.53136291,6.577629074,7.528619529,21.91006724,3143,14.381448,0.48610249
2000,16.54283545,7.799929033,9.315403423,26.7010476,3143,17.385645,0.47149891
2012,19.4873624,8.770136403,10.97498912,31.26317927,3143,20.288191,0.45004225
2013,19.76448977,8.827522352,11.12723608,31.7224638,3143,20.595228,0.44663548
2014,20.10553127,8.924269254,11.32061793,32.23546642,3143,20.914848,0.44387135
2015,20.4295881,9.018526339,11.52432304,32.48434475,3142,20.960022,0.44144437
2016,20.80864509,9.139706614,11.76836118,33.06799055,3142,21.299629,0.43922642
2017,21.22129635,9.280022039,12.07423416,33.67751476,3142,21.603281,0.43729761
2018,21.5864451,9.430366574,12.298707,34.17675208,3142,21.878046,0.43686521
2019,21.98991744,9.569038919,12.53163816,34.81751715,3142,22.285879,0.43515575
2020,22.61823385,9.708853894,12.85207101,35.52854189,3143,22.676472,0.42924899
2021,23.02092968,9.9202464,13.02552553,36.34891575,3143,23.323391,0.43092293
2022,23.49099319,10.05972659,13.40320468,37.0413441,3144,23.63814,0.42823759
2023,24.08635198,10.18848853,13.76481313,37.88794211,3144,24.123129,0.4229984
2024,24.68605099,10.2894925,14.30200152,38.84576443,3144,24.543762,0.41681403
