year,ky_pop,ky_ba,ky_ba_share,natl_ba_share,ky_natl_gap
1940,1440929,42486,2.9485145,4.5590816,-1.6105671
1970,1713298,123543,7.2108297,10.661815,-3.450985
1980,2086692,231139,11.076815,16.229433,-5.1526184
1990,2333835.564,318127.0642,13.631083,20.337742,-6.7066584
2000,2646401.138,453469.2105,17.135317,24.401627,-7.2663097
2012,2902296,608927,20.980871,28.48613,-7.5052586
2013,2920579,628673,21.525629,28.842751,-7.3171215
2014,2939709,640032,21.771952,29.278599,-7.5066471
2015,2955216,658944,22.297659,29.772482,-7.474823
2016,2970073,674165,22.698601,30.317589,-7.618988
2017,2986199,692568,23.192293,30.930271,-7.737978
2018,3004004,709603,23.621906,31.528656,-7.9067497
2019,3019093,731082,24.215286,32.148663,-7.9333763
2020,3034491,759332,25.023373,32.919296,-7.8959236
2021,3053564,785070,25.709957,33.670021,-7.9600639
2022,3067109,811939,26.472454,34.312008,-7.8395538
2023,3078157,830856,26.991995,35.005409,-8.0134144
2024,3098758,853791,27.552685,35.689167,-8.1364822
