year,ba_metro,ba_nonmetro,ba_rural,metro_rural_gap
1940,4.8651085,3.3139162,2.302597,2.5625114
1970,11.767755,7.6855168,5.336587,6.4311676
1980,17.604544,11.239743,9.0159435,8.5886002
1990,18.996763,13.119312,10.133158,8.8636055
2000,26.387144,15.341543,13.023533,13.363611
2012,30.452955,17.836409,15.553146,14.899809
2013,30.805511,18.107189,15.857155,14.948357
2014,31.236763,18.443523,16.217175,15.019588
2015,31.662687,19.284805,15.669663,15.993024
2016,32.226376,19.612719,16.004522,16.221853
2017,32.847015,20.09292,16.324879,16.522137
2018,33.471714,20.459927,16.642965,16.828749
2019,34.122025,20.816387,17.036289,17.085735
2020,34.900501,21.47492,17.627054,17.273447
2021,35.678921,21.904169,17.939777,17.739143
2022,36.404648,22.439974,18.431177,17.973471
2023,37.104652,23.029833,19.02783,18.076822
2024,37.793816,23.573439,19.648161,18.145655
