year,pop25plus,ba_plus,natl_baplus_pct,gap_years,pp_change_total,pp_per_year
1940,75008876,3419716,4.5590816,,,
1970,109899359,11717266,10.661815,30,6.1027331,.20342444
1980,132835687,21558480,16.229433,10,5.5676184,.55676186
1990,158868436.0000364,32310253.0000117,20.337742,10,4.1083088,.41083089
2000,182211639.0000195,44462604.99999928,24.401627,10,4.0638847,.40638846
2012,204273091.000028,58189497.00000724,28.48613,12,4.0845032,.34037527
2013,206524205.0000283,59567261.00000726,28.842751,1,.35662079,.35662079
2014,208987894.0000288,61188727.00000757,29.278599,1,.43584824,.43584824
2015,211382409.0000296,62933791.0000078,29.772482,1,.49388313,.49388313
2016,213567978.0000322,64748661.00000889,30.317589,1,.54510689,.54510689
2017,216189786.0000339,66868085.00000896,30.930271,1,.61268234,.61268234
2018,218364225.0000358,68847304.00000997,31.528656,1,.59838486,.59838486
2019,220539563.0000369,70900517.00001039,32.148663,1,.62000656,.62000656
2020,222836834,73356319,32.919296,1,.7706337,.7706337
2021,225152317,75808834,33.670021,1,.75072479,.75072479
2022,226600992,77751347,34.312008,1,.64198685,.64198685
2023,228378410,79944797,35.005409,1,.69340134,.69340134
2024,230755285,82354642,35.689167,1,.68375778,.68375778
