county_fips,pct_baplus1940,pct_baplus2024,state,county,rank_1940,rank_2024,rank_change
48301,6.329113924,0,Texas,Loving,2934,1,-2933
48389,6.112531969,7.397991611,Texas,Reeves,2920,8,-2912
32027,5.995343423,6.148800984,Nevada,Pershing,2910,2,-2908
48103,5.985205111,12.60744986,Texas,Crane,2908,157,-2751
48461,5.197594502,8.705457826,Texas,Upton,2765,17,-2748
48383,6.402164112,13.59223301,Texas,Reagan,2942,238,-2704
48117,5.266477452,11.43443387,Texas,Deaf Smith,2780,82,-2698
48341,5.527406725,12.29559748,Texas,Moore,2829,135,-2694
32033,5.476051402,12.35884567,Nevada,White Pine,2822,139,-2683
48105,5.126452495,10.6763285,Texas,Crockett,2738,58,-2680
48495,5.045440301,10.62553556,Texas,Winkler,2720,55,-2665
42023,5.226293103,12.58823529,Pennsylvania,Cameron,2773,156,-2617
32023,5.550811272,13.34889093,Nevada,Nye,2833,219,-2614
16079,5.10607405,12.67774885,Idaho,Shoshone,2732,162,-2570
48475,4.906832298,12.40845654,Texas,Ward,2685,144,-2541
48371,5.17372559,14.06537977,Texas,Pecos,2755,289,-2466
35029,5.283259071,14.58762262,New Mexico,Luna,2786,341,-2445
51670,4.904862579,13.72783423,Virginia,Hopewell city,2684,252,-2432
4015,5.690721649,15.21983759,Arizona,Mohave,2857,426,-2431
20175,4.384724187,11.37121092,Kansas,Seward,2505,79,-2426
6021,5.287994448,15.12134073,California,Glenn,2787,407,-2380
35025,5.141137952,15.53771345,New Mexico,Lea,2744,474,-2270
41055,5.410958904,16.03563474,Oregon,Sherman,2809,543,-2266
48189,4.949792068,15.31437126,Texas,Hale,2700,444,-2256
32021,4.258150366,13.22043969,Nevada,Mineral,2437,210,-2227
45069,3.87172182,8.956257659,South Carolina,Marlboro,2242,23,-2219
6011,5.366666667,16.38843504,California,Colusa,2801,601,-2200
48233,5.704045059,16.77148847,Texas,Hutchinson,2859,665,-2194
48111,3.990812518,11.92810458,Texas,Dallam,2297,108,-2189
6031,4.215406178,13.64481516,California,Kings,2419,244,-2175
4009,4.341289231,14.5789578,Arizona,Graham,2488,340,-2148
45039,4.470232089,15.21910778,South Carolina,Fairfield,2542,425,-2117
6035,4.033633926,13.0857015,California,Lassen,2319,203,-2116
45067,4.218713175,14.46188896,South Carolina,Marion,2420,321,-2099
8025,3.873370577,12.43769823,Colorado,Crowley,2243,146,-2097
48135,5.877352763,17.6312084,Texas,Ector,2891,795,-2096
31105,4.341801386,15.02463054,Nebraska,Kimball,2490,399,-2091
48179,4.823226411,16.22741233,Texas,Gray,2664,577,-2087
48437,4.484173505,15.46901893,Texas,Swisher,2546,465,-2081
12027,3.683716565,10.8029754,Florida,DeSoto,2121,63,-2058
45023,4.065208419,13.98834675,South Carolina,Chester,2335,280,-2055
48375,7.049249975,18.56599616,Texas,Potter,2988,950,-2038
4027,4.91868702,16.77879596,Arizona,Yuma,2690,669,-2021
48165,3.646086534,11.71881625,Texas,Gaines,2091,97,-1994
12051,3.677758319,12.18040687,Florida,Hendry,2117,124,-1993
48003,5.319148936,17.68363087,Texas,Andrews,2794,802,-1992
35005,5.507514063,17.9036179,New Mexico,Chaves,2827,836,-1991
45061,3.611082287,11.57784195,South Carolina,Lee,2068,92,-1976
48353,4.402928002,16.04990484,Texas,Nolan,2512,547,-1965
32007,5.254877281,17.77904005,Nevada,Elko,2778,817,-1961
53001,4.273972603,15.70938517,Washington,Adams,2448,492,-1956
49009,5.118110236,17.61565836,Utah,Daggett,2736,791,-1945
30035,4.469273743,16.46000486,Montana,Glacier,2541,606,-1935
6033,5.138862649,17.82996481,California,Lake,2742,825,-1917
6025,4.290593189,16.06727757,California,Imperial,2463,549,-1914
45005,3.828869315,14.25788169,South Carolina,Allendale,2213,301,-1912
48227,4.178119846,15.68769203,Texas,Howard,2389,488,-1901
16047,4.311454311,16.23898518,Idaho,Gooding,2470,580,-1890
51135,3.755197505,14.07079646,Virginia,Nottoway,2164,290,-1874
45033,3.7109375,13.79217128,South Carolina,Dillon,2133,259,-1874
48323,3.748928877,14.27091657,Texas,Maverick,2161,303,-1858
48229,3.355215171,9.585958596,Texas,Hudspeth,1882,31,-1851
32001,4.782042941,17.69399337,Nevada,Churchill,2653,805,-1848
48025,3.673015088,13.96923945,Texas,Bee,2114,278,-1836
48075,3.427950985,11.84486373,Texas,Childress,1936,103,-1833
40071,5.804387569,19.23755492,Oklahoma,Kay,2882,1053,-1829
35011,3.316749585,9.269893355,New Mexico,De Baca,1853,27,-1826
45059,4.616772771,17.59365543,South Carolina,Laurens,2604,786,-1818
6047,3.892781233,15.33191291,California,Merced,2253,447,-1806
41045,3.83160828,15.18262115,Oregon,Malheur,2216,419,-1797
16063,3.325526932,11.09550562,Idaho,Lincoln,1862,70,-1792
29111,4.316546763,16.84193754,Missouri,Lewis,2472,681,-1791
8011,3.947368421,15.71461879,Colorado,Bent,2278,493,-1785
48095,3.616813294,14.05607477,Texas,Concho,2070,287,-1783
32015,5.642923219,19.27840603,Nevada,Lander,2846,1064,-1782
8087,4.607566347,17.82097603,Colorado,Morgan,2600,822,-1778
40009,3.441156228,12.94564009,Oklahoma,Beckham,1945,185,-1760
20055,5.195297687,18.98806641,Kansas,Finney,2763,1008,-1755
46071,3.369763206,12.43370654,South Dakota,Jackson,1888,145,-1743
16075,4.355400697,17.29809748,Idaho,Payette,2496,754,-1742
45011,3.527768075,13.88829598,South Carolina,Barnwell,2000,266,-1734
12055,7.258702532,20.45971697,Florida,Highlands,3000,1267,-1733
16053,3.537785221,13.98646471,Idaho,Jerome,2012,279,-1733
6029,4.947159662,18.77143704,California,Kern,2699,974,-1725
41025,4.604636393,18.26748822,Oregon,Harney,2597,885,-1712
35031,3.416363099,13.29940892,New Mexico,McKinley,1927,216,-1711
45087,3.652199371,14.97729149,South Carolina,Union,2099,390,-1709
48363,4.436565734,17.81290259,Texas,Palo Pinto,2526,819,-1707
41049,3.178963893,10.11365087,Oregon,Morrow,1751,45,-1706
4007,4.858367656,18.73235949,Arizona,Gila,2669,970,-1699
40133,3.83243607,15.88641596,Oklahoma,Seminole,2218,519,-1699
32019,4.188481675,16.97279137,Nevada,Lyon,2402,706,-1696
12107,3.54754289,14.48697008,Florida,Putnam,2018,325,-1693
48489,3.498985801,14.04946023,Texas,Willacy,1979,286,-1693
51036,4.23991727,17.26111005,Virginia,Charles City,2430,751,-1679
32017,6.041565974,20.36185219,Nevada,Lincoln,2914,1249,-1665
45075,5.143513203,19.37983122,South Carolina,Orangeburg,2745,1085,-1660
40101,4.695358939,18.81858827,Oklahoma,Muskogee,2635,985,-1650
8081,5.108194395,19.37916712,Colorado,Moffat,2734,1084,-1650
48049,5.70823079,20.16896628,Texas,Brown,2862,1219,-1643
