year,mean_baplus,mean_somecoll,disp_baplus
2012,20.07042737422559,26.98296143080755,35.288506
2013,20.50700805181759,27.24431653554579,36.285656
2014,20.71159151660275,27.60389678965585,36.260815
2015,21.20430942694509,27.85975099994607,36.140587
2016,21.54621601676383,28.24640654577318,36.50296
2017,21.90891329969185,28.5846959478375,36.399906
2018,22.25317348706189,28.69642139812462,36.952541
2019,22.77782438397571,28.7818956683461,37.491482
2020,23.49425045287957,29.19628541252624,40.076515
2021,24.11225711009967,28.87872427684589,40.823952
2022,24.70956639823106,28.74425558023274,40.977097
2023,25.23759799502272,28.59122240127481,40.915844
2024,25.69095462848852,28.46893342097353,41.220406
