"county_fips","county","state","state_abb","state_fips","ba_1990","ba_2000","ba_2012","ba_2024","growth_1990_2024","growth_per_decade"
"13117","Forsyth","Georgia","Georgia","13",15.5713872047317,34.5854444999214,43.344973276272,57.1261833744002,41.5547961696685,12.2219988734319
"19049","Dallas","Iowa","Iowa","19",16.27824651826,26.7683787810642,42.0919544417896,51.4926001853464,35.2143536670864,10.3571628432607
"08079","Mineral","Colorado","Colorado","08",17.8743961352657,31.2202852614897,38.1028938906752,51.68,33.8056038647343,9.94282466609832
"08065","Lake","Colorado","Colorado","08",16.1937901498929,19.5116772823779,24.0503715937242,49.495145631068,33.301355481175,9.79451631799266
"39041","Delaware","Ohio","Ohio","39",26.3953824907222,41.0354480622911,49.8416993880222,59.4304084570933,33.0350259663711,9.7161841077562
"49051","Wasatch","Utah","Utah","49",18.5196490873279,26.3371347171524,31.2601984062279,51.3421202434646,32.8224711561367,9.65366798709901
"08014","Broomfield","Colorado","Colorado","08",27.5703814329706,38.3567135209084,46.9652797085144,60.3345499899121,32.7641685569416,9.63652016380635
"16081","Teton","Idaho","Idaho","16",17.4154467440687,28.0852241283896,33.3025119432886,49.8698947844779,32.4544480404092,9.54542589423801
"08015","Chaffee","Colorado","Colorado","08",15.1803422173677,24.3218135663242,33.398593285476,46.9846657373174,31.8043235199497,9.3542127999852
"51107","Loudoun","Virginia","Virginia","51",32.753651704927,47.211397342599,57.8745684519212,64.5517289949996,31.7980772900727,9.35237567355079
"56039","Teton","Wyoming","Wyoming","56",29.9986905727721,45.7859479481199,48.9943991607231,61.0839626832519,31.0852721104798,9.1427270913176
"11001","District of Columbia","District of Columbia","District of Columbia","11",33.3108466480687,39.0697855851095,51.2057053603197,64.2466339005029,30.9357872524343,9.09876095659832
"26083","Keweenaw","Michigan","Michigan","26",11.1111111111111,19.094247246022,23.5815602836879,41.1931818181818,30.0820707070707,8.8476678550208
"18011","Boone","Indiana","Indiana","18",22.2075055187638,27.6424387646432,39.5423340961098,51.7251725172517,29.5176669984879,8.68166676426116
"37037","Chatham","North Carolina","North Carolina","37",19.5382363355222,27.5803648338902,36.6969030772793,48.9359192545537,29.3976829190315,8.64637732912691
"34017","Hudson","New Jersey","New Jersey","34",19.7244829626617,25.2828316273942,35.9065544706748,48.9091443015817,29.18466133892,8.58372392321177
"13133","Greene","Georgia","Georgia","13",8.77636752746593,17.6272529991043,19.3737270875764,37.7971165086375,29.0207489811716,8.53551440622693
"27019","Carver","Minnesota","Minnesota","27",21.4469115635329,34.323059594565,43.4997895326463,50.4425139687589,28.995602405226,8.52811835447823
"48259","Kendall","Texas","Texas","48",19.9443413728502,31.3893978644089,38.816807011514,48.8965294307796,28.9521880579295,8.51534942880278
"08091","Ouray","Colorado","Colorado","08",27.9212861941402,36.8478628355385,46.4395420273667,56.4757303887739,28.5544441946337,8.39836593959814
"47187","Williamson","Tennessee","Tennessee","47",34.2392582964089,44.3558310504863,51.9581035375823,62.6926898427105,28.4534315463016,8.36865633714752
"51540","Charlottesville city","Virginia","Virginia","51",34.0595312546309,40.7892713829095,48.085360843811,62.4526873580621,28.3931561034312,8.35092826571506
"08111","San Juan","Colorado","Colorado","08",23.9740820734341,43.6915887850467,30.1724137931034,52.1222410865874,28.1481590131533,8.27887029798627
"46083","Lincoln","South Dakota","South Dakota","46",16.3769033412942,25.4950882298526,38.4205578188656,44.4465956760245,28.0696923347303,8.25579186315598
"45019","Charleston","South Carolina","South Carolina","45",22.3725291759853,30.7250620170239,38.4285717539263,50.3354776232967,27.9629484473114,8.22439660215042
"51610","Falls Church city","Virginia","Virginia","51",52.7018265404097,63.6279788016992,72.6866239053945,80.5325443786982,27.8307178382885,8.18550524655543
"13085","Dawson","Georgia","Georgia","13",8.63942630335531,18.0705743518692,23.4672580226375,36.4354332163311,27.7960069129757,8.17529615087522
"08051","Gunnison","Colorado","Colorado","08",36.9356806691698,43.5912511757473,51.9080032999393,64.6640383956119,27.7283577264421,8.15539933130651
"26089","Leelanau","Michigan","Michigan","26",24.1394805428238,31.3561041596212,39.0039963110974,51.8491781430475,27.7096976002238,8.14991105888934
"39165","Warren","Ohio","Ohio","39",17.997093063946,28.365311277474,36.873488099888,45.5817249133327,27.5846318493867,8.1131270145255
"08031","Denver","Colorado","Colorado","08",29.0282423529201,34.4501745282744,42.2362827076191,56.5279333598972,27.499691006977,8.08814441381677
"12119","Sumter","Florida","Florida","12",7.82914980912747,12.2383094075094,22.5793130252838,35.328432094079,27.4992822849515,8.08802420145633
"13219","Oconee","Georgia","Georgia","13",28.4309261451598,39.7874924104432,44.0568047337278,55.8752324479843,27.4443063028245,8.07185479494837
"37179","Union","North Carolina","North Carolina","37",13.1591467667752,21.3227895906173,30.7735066639515,40.4927329863498,27.3335862195746,8.03929006458076
"12109","St. Johns","Florida","Florida","12",23.6480865230266,33.1326349495489,40.7065311565448,50.910503150082,27.2624166270554,8.01835783148688
"39159","Union","Ohio","Ohio","39",12.013445705656,15.9267355091581,27.79039962717,39.1709372014245,27.1574914957685,7.98749749875545
"27139","Scott","Minnesota","Minnesota","27",17.1749619279539,29.3967346574456,37.4705367903782,44.149897814809,26.9749358868551,7.93380467260444
"13121","Fulton","Georgia","Georgia","13",31.551366207085,41.3845927775437,48.406066070159,58.4907477636917,26.9393815566068,7.92334751664905
"49043","Summit","Utah","Utah","49",32.8994536111797,45.5332289597985,48.314791229735,59.8274339289354,26.9279803177557,7.91999421110461
"37021","Buncombe","North Carolina","North Carolina","37",19.1148317834988,25.2605611186829,32.7285393823259,45.910261914985,26.7954301314862,7.88100886220183
"51075","Goochland","Virginia","Virginia","51",19.1794278142221,29.1975546497428,37.1352124314595,45.8438162892803,26.6643884750581,7.84246719854652
"08019","Clear Creek","Colorado","Colorado","08",31.1800975651777,38.8071258689042,37.2917133779223,57.4956146269059,26.3155170617283,7.73985795933185
"41017","Deschutes","Oregon","Oregon","41",18.8663342774548,24.9675959739667,30.5295340823833,44.9683472389053,26.1020129614505,7.67706263572074
"27031","Cook","Minnesota","Minnesota","27",20.6884057971014,28.8302277432712,36.2984927106499,46.6490299823633,25.9606241852619,7.63547770154761
"48319","Mason","Texas","Texas","48",12.947543713572,18.7338022954461,28.394210889042,38.8457644279447,25.8982207143726,7.61712373952136
"29510","St. Louis city","Missouri","Missouri","29",15.3254113040625,19.0895267237029,28.5025530858152,41.1419892256212,25.8165779215587,7.59311115339961
"18057","Hamilton","Indiana","Indiana","18",36.1783384205992,48.8669637720121,55.0354553871377,61.9049379976826,25.7265995770834,7.5666469344363
"44001","Bristol","Rhode Island","Rhode Island","44",27.3962842868208,34.2543425792831,42.1304713193749,53.0085879991077,25.6123037122869,7.53303050361381
"37025","Cabarrus","North Carolina","North Carolina","37",12.3058146113507,19.1149158836787,24.2347136033725,37.9146588004933,25.6088441891427,7.53201299680666
"36047","Kings","New York","New York","36",16.5510897836858,21.8466452439676,29.7683493835787,42.1075776374642,25.5564878537783,7.51661407464069
"23005","Cumberland","Maine","Maine","23",27.5613600541194,34.2395021955779,40.2313319279514,53.0060939684661,25.4447339143467,7.48374526892551
"46021","Campbell","South Dakota","South Dakota","46",10.6617647058824,14.7881694644285,18.1733457595527,36.0294117647059,25.3676470588235,7.46107266435986
"06075","San Francisco","California","California","06",35.0430678487932,44.9802101315807,51.9717406125824,60.3386736541152,25.295605805322,7.43988406038883
"41051","Multnomah","Oregon","Oregon","41",23.6551841633692,30.6499418527963,39.1660943277781,48.864937509298,25.2097533459288,7.41463333703788
"17133","Monroe","Illinois","Illinois","17",13.7396502142063,20.3572432073651,25.5070168068023,38.6647511871982,24.9251009729919,7.33091205087997
"51127","New Kent","Virginia","Virginia","51",13.4453825329022,16.3320774312241,23.1666111115309,38.3670169765562,24.921634443654,7.32989248342764
"21037","Campbell","Kentucky","Kentucky","21",14.9191177863312,20.5442081697995,27.5188652289748,39.7447722152502,24.8256544289189,7.3016630673291
"51013","Arlington","Virginia","Virginia","51",52.2979371102662,60.2204644432548,71.2486080903552,77.0794526848339,24.7815155745676,7.28868105134342
"08113","San Miguel","Colorado","Colorado","08",40.2607664954563,48.4670306598936,53.6008796041781,64.8579226200032,24.5971561245469,7.23445768369025
"08027","Custer","Colorado","Colorado","08",19.182156133829,26.6875981161695,32.4970131421744,43.7095614665708,24.5274053327418,7.21394274492406
"13145","Harris","Georgia","Georgia","13",13.598157055834,21.1446787924866,28.1619116845357,37.979686203217,24.3815291473831,7.17103798452443
"13029","Bryan","Georgia","Georgia","13",11.7816091954023,19.3330077439206,29.3855789637145,36.1332367849385,24.3516275895362,7.16224340868711
"25021","Norfolk","Massachusetts","Massachusetts","25",34.4344571729103,42.9449547953675,48.3083370720946,58.7834851371252,24.3490279642149,7.16147881300438
"30103","Treasure","Montana","Montana","30",13.1810193321617,18.1975736568458,22.181146025878,37.4570446735395,24.2760253413778,7.14000745334642
"37129","New Hanover","North Carolina","North Carolina","37",21.2141414228839,30.9636309297277,36.5866080539113,45.3906754173414,24.1765339944575,7.1107452924875
"25017","Middlesex","Massachusetts","Massachusetts","25",35.3840833725982,43.5857203714193,50.1885625202937,59.5094472985553,24.1253639259571,7.09569527234032
"13113","Fayette","Georgia","Georgia","13",25.7792754844611,36.171546699288,42.1125156427959,49.9005187237973,24.1212432393362,7.09448330568713
"47037","Davidson","Tennessee","Tennessee","47",24.3747341244721,30.4829168788165,35.0092694860222,48.390752402117,24.0160182776449,7.06353478754261
"44005","Newport","Rhode Island","Rhode Island","44",30.1018622234233,38.3200189560079,43.7484015072195,54.0906452473213,23.9887830238979,7.05552441879351
"45057","Lancaster","South Carolina","South Carolina","45",9.59431086525778,10.1902944089683,18.4771439960326,33.5744777052276,23.9801668399698,7.05299024704995
